PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
148626;2011;66;32,00;;3,00;6,00;;;;;6,00;8,00;;;9,00;;;;;;;;
16040;2010;67;32,00;;;;;;14,00;;6,00;8,00;;;;3,00;;;;;;;1,00
71569;2007;68;32,00;;3,00;;;;;12,00;6,00;;2,00;;;;6,00;;;;;;3,00
55463;2007;69;32,00;;;;5,00;;;;6,00;8,00;;;;;;3,00;5,00;2,00;;;3,00
49127;2010;70;32,00;;3,00;;;;6,00;;6,00;8,00;;;;3,00;;;5,00;;;;1,00
58590;2007;71;32,00;;;6,00;;6,00;;;6,00;6,00;;5,00;;;;;;;;;3,00
41329;2007;72;32,00;;;;;;;;6,00;3,00;;;;;9,00;6,00;5,00;;;;3,00
86472;2007;73;32,00;;3,00;6,00;;;14,00;;3,00;;;;;;;3,00;;;;;3,00
133616;2010;74;31,50;;;;;6,00;;;6,00;8,00;;;11,00;;;;;;;;0,50
95520;2009;75;31,50;;3,00;;;;;;6,00;8,00;;;11,00;;;;;2,00;;;1,50
282204;2007;76;31,50;;3,00;;;;;;6,00;8,00;;;12,00;;;;;;;;2,50
179237;2009;77;31,50;;3,00;;;6,00;;;6,00;6,00;;;;;9,00;;;;;;1,50
273214;2010;78;31,50;;3,00;;;6,00;;;3,00;3,00;;;;;6,00;5,00;5,00;;;;0,50
266321;2010;79;31,50;;3,00;;;;14,00;;3,00;;;;11,00;;;;;;;;0,50
252659;2010;80;31,50;;3,00;;5,00;;12,00;;3,00;;;;;3,00;;;5,00;;;;0,50
