SERVIZIO;ON-LINE;TOTALE
BUONO SCUOLA PER LE SCUOLE DELL'INFANZIA;49;254
NIDO D'INFANZIA;368;2694
SCUOLA DELL'INFANZIA;289;3114
SERVIZI INTEGRATIVI SCUOLA DELL'INFANZIA;29;2795
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;259;3875
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;77;1583
