SERVIZIO;ON-LINE;TOTALE
NIDO D'INFANZIA;699;3026
SCUOLA DELL'INFANZIA;714;3401
SERVIZI INTEGRATIVI SCUOLA DELL'INFANZIA;603;3212
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;632;3860
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;138;995
