SERVIZIO;ON-LINE;TOTALE
NIDO D'INFANZIA;1063;3138
NIDO INTERAZIENDALE;81;103
SCUOLA DELL'INFANZIA;1040;3381
SERVIZI INTEGRATIVI SCUOLA DELL'INFANZIA;899;3138
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;673;3988
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;163;1068
