Sezioni 2001;1. Comune di Bologna;2. Comuni della provincia Bologna;3. Altre province Emilia-Romagna;4. Italia nord occidentale;5. Italia nord orientale;6. Italia centrale;7. Italia meridionale e insulare;8. Stati esteri;Totale
0323;131;20;32;10;9;14;79;79;374
0324;72;17;18;3;3;5;40;52;210
0325;112;39;24;8;8;4;50;76;321
0326;73;13;11;4;2;5;26;41;175
0327;29;5;9;1;1;7;19;33;104
0328;44;9;9;;2;4;11;10;89
0329;8;4;3;;2;1;6;8;32
0330;18;9;4;2;;3;12;12;60
0331;22;12;2;1;2;2;13;22;76
0332;53;14;13;7;6;6;24;35;158
0333;133;42;24;13;10;11;36;50;319
0334;32;12;9;3;3;3;18;14;94
0335;64;27;20;3;5;3;40;52;214
0336;41;13;10;3;1;;29;47;144
0337;35;8;9;6;3;3;28;43;135
0338;35;9;5;2;1;5;19;24;100
0340;55;22;6;4;2;8;32;26;155
0341;34;8;10;4;2;1;23;22;104
0342;28;3;6;4;2;1;16;24;84
0344;2;;;;;1;1;6;10
0345;6;;1;;;;;18;25
0347;20;7;11;3;5;5;15;15;81
0348;64;17;12;2;4;8;22;14;143
0349;36;11;12;2;;4;11;10;86
0350;28;6;5;1;2;2;6;12;62
0351;42;9;9;3;5;4;18;35;125
0352;77;16;10;7;6;2;21;16;155
0353;31;8;12;2;2;3;8;7;73
0354;43;21;13;2;2;1;14;8;104
0355;12;4;4;;;6;7;9;42
0356;70;32;28;3;6;17;50;28;234
0357;46;16;10;2;4;6;19;31;134
0358;51;26;15;5;4;6;36;32;175
0359;44;20;19;3;3;7;21;31;148
0360;60;17;9;5;4;5;30;18;148
0361;35;14;6;4;1;4;15;45;124
0362;49;7;6;5;6;2;10;13;98
0363;7;2;3;;1;;;;13
0365;;;1;;;;;;1
0366;5;2;1;;1;1;;2;12
0367;7;3;3;7;4;;1;4;29
0368;1;;;1;;;;;2
0369;1;3;;;;;2;2;8
0370;9;1;3;;1;3;6;17;40
0371;12;;1;;;;9;4;26
0375;8;1;3;;;;3;4;19
0376;59;26;10;3;8;;32;23;161
0377;8;12;2;2;;;8;14;46
0378;29;28;11;2;;1;19;22;112
0379;15;9;5;2;3;2;12;5;53
0380;8;10;;2;;1;3;10;34
0381;9;8;2;;1;1;1;;22
0382;77;22;7;1;6;3;18;17;151
0383;41;34;10;2;;2;15;8;112
0384;52;24;18;3;4;10;17;14;142
0385;12;2;4;;;;1;1;20
0386;13;3;3;;;;4;2;25
0387;17;6;1;1;;;;4;29
0388;8;3;1;;1;;;5;18
0389;5;3;3;1;;;4;;16
0390;17;6;5;;1;4;7;2;42
0391;3;;;;1;;4;1;9
0392;21;10;14;6;3;3;4;29;90
0394;17;12;4;1;2;1;7;22;66
0395;39;13;5;;2;2;12;17;90
0396;28;7;8;2;;2;11;53;111
0397;54;30;15;4;;2;17;33;155
0398;109;71;31;7;5;11;26;18;278
0399;102;35;27;3;4;8;34;38;251
0400;66;48;27;3;9;3;21;50;227
0401;20;14;2;1;;;3;4;44
0402;36;36;12;3;1;3;20;19;130
0403;62;20;12;;5;9;6;4;118
0404;129;71;36;7;8;15;31;24;321
0405;86;65;31;3;2;6;19;33;245
0406;13;17;3;2;;1;4;13;53
0407;83;54;21;4;5;4;21;19;211
0409;41;27;10;3;3;4;5;14;107
0410;29;14;5;;;2;13;8;71
0411;35;25;5;2;1;2;7;7;84
0412;58;42;7;2;5;3;23;27;167
0413;80;46;34;3;3;6;23;41;236
0414;9;5;3;1;4;1;10;5;38
0415;87;55;14;3;4;3;31;30;227
0416;38;16;13;;4;3;8;11;93
0417;59;60;20;6;5;8;30;25;213
0419;11;2;2;2;;3;5;6;31
0420;;3;;;;;;;3
0421;19;2;4;;1;1;6;;33
0422;4;1;;;;;2;2;9
0423;12;4;1;;1;;1;2;21
0424;1;2;;;;;1;;4
0425;29;4;2;1;2;6;10;20;74
0426;8;;;;;1;2;2;13
0428;13;2;3;4;3;1;8;17;51
0429;3;1;;;1;;1;2;8
0430;2;;1;2;1;2;5;7;20
0431;25;6;4;3;4;2;11;7;62
0432;11;6;2;1;2;;3;1;26
0433;1;;;;;;;;1
0434;5;2;1;;;;3;4;15
0435;37;17;8;4;1;1;20;27;115
0438;5;;;;;;;11;16
0439;91;26;23;6;5;6;57;24;238
0441;10;3;1;;1;;1;2;18
0442;96;34;22;6;4;8;57;26;253
0443;;;;;;;;1;1
0444;52;16;13;4;6;5;27;26;149
0445;3;1;1;;;1;2;3;11
0446;3;3;1;1;;;3;4;15
0447;31;17;8;;2;1;16;10;85
0448;36;6;6;;3;1;7;8;67
0449;4;;1;;;;3;2;10
0450;2;1;2;;;;;;5
0451;3;3;;2;1;;2;;11
0452;258;70;36;13;11;13;54;32;487
0453;;2;;;;;;1;3
0454;4;;1;;;1;3;4;13
0455;1;;;;;;1;;2
0456;3;;1;;;;1;;5
0457;9;5;4;3;;;8;7;36
0458;9;6;1;1;;;1;4;22
0459;1;;;;;;;;1
0460;7;5;;;;;7;2;21
0462;;;;;;;;2;2
0463;273;54;53;9;13;16;77;29;524
0464;57;6;10;4;4;2;9;6;98
0465;31;9;13;;3;2;10;12;80
0466;44;32;11;;3;1;21;11;123
0467;22;13;6;;1;2;11;35;90
0468;60;31;20;1;4;4;21;28;169
0469;69;20;14;3;3;2;9;20;140
0470;3;6;2;1;;2;8;;22
0471;5;2;5;1;;2;1;4;20
0472;49;32;16;3;3;4;20;21;148
0473;37;9;7;1;2;1;5;2;64
0474;63;25;19;1;3;3;22;35;171
0475;;;;;;;1;;1
0477;15;1;1;2;1;;9;;29
0478;5;7;1;;1;1;4;13;32
0480;22;7;5;;3;;3;13;53
0481;113;17;18;4;3;7;26;13;201
0482;12;2;1;;2;;3;;20
0483;16;4;4;;1;;;3;28
0484;7;4;2;2;;1;3;;19
0485;130;30;21;10;2;8;38;36;275
0486;54;33;20;3;4;2;14;12;142
0489;4;1;1;;;;1;;7
0490;1;;;;;;;;1
0491;7;2;;;1;1;3;;14
0493;17;1;;1;3;;1;3;26
0494;3;;;;;1;1;1;6
0495;12;4;;1;1;1;2;1;22
0496;11;4;2;1;1;1;;6;26
0497;7;;3;1;;;1;;12
0498;1;;;;;;;;1
0499;9;3;;;;1;;2;15
0500;21;6;2;1;;;8;2;40
0501;67;13;13;2;6;4;19;13;137
0502;9;3;1;1;;1;9;1;25
0503;299;64;39;15;18;20;80;56;591
0504;5;2;1;;;;;1;9
0506;;;;;;;1;;1
0508;;1;;;;;;;1
0509;2;1;2;;;;2;4;11
0512;1;1;;1;;;;1;4
0514;1;;1;1;;;2;1;6
0515;2;1;;;;;;;3
0516;2;;;;;;1;;3
0517;17;1;2;2;;4;2;;28
0518;5;1;;;;;2;;8
0519;1;;;;;;;;1
0520;3;;;;;;;;3
0521;3;2;;;;;;;5
0522;4;1;1;;;1;1;1;9
0523;4;;;;;;2;1;7
0524;2;2;;;1;;;;5
0525;2;1;;;;;2;;5
0526;6;;;1;;;6;1;14
0527;2;;;;;;;;2
0528;3;;2;;;;1;3;9
0530;2;1;2;;;;;1;6
0534;1;2;;;2;;2;;7
0536;186;32;35;7;10;10;81;75;436
0538;2;;1;;;1;3;;7
0539;76;26;22;4;8;7;27;15;185
0540;2;1;;;;;;;3
0541;4;1;;;;1;1;;7
0542;8;3;3;1;2;;1;3;21
0543;93;25;17;4;6;5;20;25;195
0544;8;3;;1;3;;2;2;19
0545;131;58;45;4;15;9;55;22;339
0546;15;10;2;1;2;4;19;5;58
0547;91;16;27;4;11;3;30;24;206
0548;7;;1;1;;;4;2;15
0550;59;15;15;4;2;3;18;37;153
0551;58;14;5;2;4;1;17;10;111
0552;90;29;24;5;11;9;53;45;266
0553;113;28;13;3;7;16;53;35;268
0554;91;26;26;5;10;10;29;15;212
0555;4;1;;;;;;;5
0556;4;;;;;1;2;;7
0558;13;8;4;1;;1;7;7;41
0559;20;5;5;2;1;5;8;7;53
0560;2;;;;1;;1;1;5
0561;8;3;4;;;1;2;1;19
0562;111;33;21;4;6;10;38;52;275
0563;65;15;14;1;1;4;14;36;150
0564;15;3;1;;;;;5;24
0565;1;3;;;;;;;4
0566;4;1;2;;;1;;;8
0567;1;1;1;;;;;;3
0569;21;6;4;;1;2;11;10;55
0570;29;12;15;4;3;1;19;23;106
0571;80;18;15;3;4;4;36;42;202
0572;80;38;20;4;1;3;14;22;182
0573;80;20;17;5;3;9;37;48;219
0574;63;18;18;1;3;2;39;37;181
0575;167;80;40;6;8;7;38;21;367
0576;101;40;26;3;9;9;20;6;214
0577;110;25;27;6;14;4;8;15;209
0578;2;;;;;;;2;4
0579;9;8;2;4;;1;4;8;36
0580;9;1;;1;1;1;3;;16
0581;5;2;;;;;1;;8
0583;2;;;;;;1;;3
0584;5;;2;;;;1;2;10
0585;15;2;;;2;2;4;4;29
0586;5;;;;;;2;27;34
0587;4;;1;1;;1;1;5;13
0588;32;6;4;1;1;;9;15;68
0589;117;21;34;3;6;9;71;40;301
0590;1;2;;;;;;;3
0591;21;7;8;1;1;3;16;14;71
0592;92;12;14;5;2;7;39;35;206
0594;58;26;16;3;4;3;33;33;176
0595;112;48;28;3;5;17;29;28;270
0596;48;2;12;2;3;5;15;12;99
0597;4;1;1;;;1;3;3;13
0598;124;15;17;5;7;2;60;24;254
0600;5;1;2;1;;;3;1;13
0603;37;11;11;3;2;5;13;10;92
0604;36;7;11;6;2;4;30;33;129
0608;44;9;8;4;5;7;22;7;106
0609;48;14;11;6;4;8;35;18;144
0610;50;4;12;6;8;6;37;14;137
0613;10;1;6;;;2;5;3;27
0614;51;13;21;4;6;13;37;12;157
0615;66;17;10;6;9;1;25;13;147
0616;20;7;9;8;5;6;13;7;75
0617;38;4;12;7;5;6;23;9;104
0618;30;5;4;3;6;6;16;13;83
0619;64;15;15;4;4;13;33;17;165
0620;26;1;11;3;4;4;12;10;71
0623;6;1;;;1;;6;7;21
0625;12;1;1;1;1;1;6;6;29
0626;23;6;9;2;2;;16;22;80
0627;81;13;15;16;6;14;39;19;203
0629;14;6;5;2;;3;15;4;49
0630;47;16;15;6;8;8;15;29;144
0632;39;6;8;5;7;4;19;17;105
0634;71;18;14;6;8;11;30;25;183
0635;22;7;2;;;3;12;13;59
0636;35;7;5;4;4;5;7;5;72
0637;104;21;13;8;9;14;45;27;241
0638;41;8;10;3;2;6;16;11;97
0639;2;;1;1;;;;4;8
0641;41;11;6;7;3;8;9;15;100
0642;16;5;6;3;1;3;6;2;42
0643;35;11;9;3;5;4;17;5;89
0644;45;8;18;7;4;7;11;5;105
0645;44;9;12;10;6;3;11;16;111
0646;67;14;13;9;5;10;25;24;167
0647;44;9;7;2;7;2;23;17;111
0649;38;14;12;2;5;5;24;20;120
0650;56;10;22;3;7;19;38;19;174
0651;64;15;20;11;10;3;28;18;169
0652;77;12;12;7;8;14;32;22;184
0653;7;2;1;;1;;2;1;14
0654;18;3;5;2;2;2;7;1;40
0655;14;3;3;2;;;2;;24
0656;75;16;16;6;8;11;11;14;157
0657;119;25;23;7;15;10;24;21;244
0661;97;16;28;9;11;19;34;29;243
0662;94;20;22;16;13;11;28;21;225
0663;30;9;7;5;2;2;11;7;73
0664;35;3;9;4;2;3;24;10;90
0665;50;5;13;5;5;10;10;12;110
0666;28;4;5;5;1;10;13;14;80
0667;55;7;9;6;10;6;23;31;147
0668;39;4;9;2;2;2;11;6;75
0669;35;8;6;5;1;2;17;19;93
0670;34;7;10;5;5;2;20;25;108
0671;41;9;15;7;8;7;24;24;135
0672;72;14;14;5;6;8;24;23;166
0673;36;6;6;3;2;7;12;10;82
0674;53;9;17;4;7;10;16;17;133
0675;21;6;2;3;;1;10;7;50
0676;36;7;8;2;7;8;12;7;87
0677;32;1;7;5;3;;12;14;74
0679;19;6;9;1;4;5;11;3;58
0680;7;2;4;1;;1;2;2;19
0681;60;7;24;8;7;6;23;31;166
0682;23;4;3;3;3;2;7;10;55
0683;28;4;5;5;5;11;17;4;79
0684;63;11;22;7;7;10;28;18;166
0685;1;;;1;;;;2;4
0686;14;3;4;1;3;1;9;4;39
0687;;;3;;;;2;;5
0688;1;;;1;2;;2;2;8
0690;14;5;4;2;3;3;11;4;46
0691;16;3;2;1;;4;11;4;41
0692;10;4;2;1;1;;5;4;27
0693;24;6;4;1;1;4;7;10;57
0694;23;1;3;1;3;3;6;4;44
0695;21;2;;3;5;4;7;12;54
0696;31;2;4;3;1;4;9;6;60
0697;29;7;3;2;4;5;8;8;66
0698;1;1;;;1;;6;1;10
0699;4;;2;;1;2;1;1;11
0701;46;12;15;2;5;13;85;16;194
0702;14;5;5;1;2;2;15;3;47
0703;14;2;1;;;3;6;5;31
0704;21;6;6;2;2;2;4;10;53
0705;55;16;13;3;3;5;24;36;155
0707;83;22;17;4;6;9;28;32;201
0708;5;4;;1;2;5;12;;29
0710;26;11;4;1;1;1;5;3;52
0711;50;9;4;3;3;4;10;3;86
0712;73;30;13;5;4;4;15;11;155
0713;17;9;5;3;1;4;8;24;71
0714;91;17;30;10;6;11;30;9;204
0715;89;18;10;8;8;2;37;33;205
0716;18;6;4;1;1;5;1;3;39
0717;114;26;13;6;1;7;30;31;228
0718;50;9;14;1;1;3;8;12;98
0719;101;15;20;13;5;10;28;20;212
0720;34;7;7;6;3;5;9;13;84
0721;69;25;27;4;3;6;37;55;226
0722;48;25;12;4;5;5;20;20;139
0723;;;;;;;;5;5
0724;53;11;10;3;5;3;15;14;114
0725;29;6;8;3;6;3;17;15;87
0726;89;16;11;15;2;12;26;25;196
0727;36;10;13;7;4;3;32;18;123
0728;39;9;13;1;1;4;15;13;95
0729;19;8;2;3;;8;10;7;57
0730;25;8;7;3;2;2;18;16;81
0731;31;13;1;4;3;1;16;10;79
0732;43;12;8;2;4;2;27;21;119
0733;52;9;8;6;2;11;28;26;142
0734;1;;;;;;;;1
0735;86;34;19;11;8;5;40;40;243
0736;148;31;34;5;8;8;44;30;308
0737;13;15;3;;;3;5;4;43
0738;52;17;14;6;3;7;28;41;168
0739;7;1;1;;;;1;2;12
0740;15;7;3;1;2;1;2;1;32
0741;58;12;7;2;7;3;19;21;129
0742;41;13;11;;7;6;24;20;122
0743;41;7;10;5;;6;13;9;91
0744;22;6;1;1;2;1;6;1;40
0745;107;25;22;10;4;8;33;46;255
0746;98;45;19;4;12;9;42;60;289
0747;54;32;15;2;2;4;22;13;144
0748;27;19;10;3;1;2;5;14;81
0749;52;19;8;3;4;3;9;10;108
0750;72;30;17;6;10;4;19;32;190
0751;23;5;3;1;3;;5;4;44
0752;47;30;8;2;5;2;9;7;110
0753;7;1;;;;;;;8
0754;55;21;9;2;2;5;27;27;148
0755;44;20;8;2;3;1;8;4;90
0758;113;34;42;13;8;19;42;50;321
0759;52;15;10;7;2;7;10;1;104
0760;96;34;12;7;6;21;36;27;239
0761;29;9;6;5;6;2;28;22;107
0764;103;18;24;6;5;12;34;38;240
0765;69;25;10;6;11;13;50;35;219
0766;59;27;12;1;3;13;21;29;165
0767;64;14;12;2;1;5;8;8;114
0768;30;12;3;4;3;1;9;12;74
0770;26;10;9;2;3;4;23;25;102
0771;44;6;4;4;2;5;24;22;111
0772;25;4;7;2;2;6;17;14;77
0773;29;14;16;;4;2;14;12;91
0774;33;15;7;7;5;8;25;22;122
0775;22;15;7;5;2;4;19;26;100
0776;48;8;12;5;2;5;19;10;109
0777;34;15;5;5;3;4;13;15;94
0778;53;9;11;1;4;2;12;4;96
0779;45;13;10;3;3;1;20;23;118
0780;97;26;22;6;5;8;47;27;238
0781;23;3;2;1;3;;;5;37
0782;12;6;3;;;2;2;1;26
0783;90;35;17;12;8;14;41;28;245
0784;12;4;2;;2;1;2;7;30
0785;4;3;2;;;1;;2;12
0786;98;41;40;8;4;6;43;32;272
0787;103;31;19;3;7;9;35;59;266
0788;27;6;4;;;4;5;6;52
0789;87;39;25;3;6;5;33;36;234
0790;88;45;31;7;8;8;46;29;262
0791;23;2;4;;;2;4;6;41
0793;21;4;1;1;;1;3;6;37
0794;30;9;5;1;2;;5;6;58
0795;29;13;4;;1;3;8;5;63
0796;40;9;2;1;2;1;9;16;80
0797;11;4;2;;1;1;10;5;34
0798;112;28;16;5;7;6;13;26;213
0799;11;3;2;1;;2;2;;21
0800;7;1;2;1;1;;2;;14
0801;36;14;5;1;1;3;10;4;74
0802;76;2;3;1;4;3;10;6;105
0803;60;21;8;3;1;3;14;12;122
0804;58;16;9;1;2;3;14;13;116
0805;53;13;9;2;1;6;8;13;105
0806;84;33;12;1;2;7;16;36;191
0807;35;15;2;3;5;2;1;5;68
0808;53;21;7;1;1;2;12;24;121
0809;83;34;13;2;2;3;16;16;169
0810;32;18;6;1;3;2;22;20;104
0811;23;6;5;;;1;6;2;43
0812;36;15;6;2;2;1;5;8;75
