SERVIZIO;ON-LINE;TOTALE
NIDO D'INFANZIA;140;1970
SCUOLA DELL'INFANZIA;113;2723
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;163;1678
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;28;769
