;;;;;
Popolazione residente per sezione e stato civile - Femmine;;;;;(a)
al  31 Dicembre 2010;;;;;
Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
2110;29;14;7;1;51
2111;18;18;4;1;41
2112;6;6;4;1;17
2113;27;22;7;2;58
2114;48;71;20;7;146
2115;5;6;4;;15
2116;37;42;10;4;93
2117;14;31;8;1;54
2118;52;70;25;5;152
2119;67;76;30;7;180
2120;102;103;41;11;257
2121;81;108;40;10;239
2122;67;114;46;6;233
2123;24;39;8;6;77
2124;66;66;22;4;158
2125;;;;;
2126;108;176;53;9;346
2127;34;64;13;1;112
2128;108;157;34;10;309
2129;49;93;18;3;163
2130;33;37;7;1;78
2131;78;83;10;8;179
2132;40;106;31;6;183
2133;2;2;1;1;6
2134;103;140;31;16;290
2135;2;3;;2;7
2136;40;84;21;2;147
2137;;;;;
2138;34;62;20;5;121
2139;1;2;;;3
2140;4;6;2;2;14
2141;;;;;
2142;131;143;52;10;336
2143;118;161;72;12;363
2144;50;69;59;4;182
2145;130;141;68;13;352
2146;;;;;
2147;75;112;26;7;220
2148;84;79;46;6;215
2149;105;193;37;13;348
2150;24;16;19;3;62
2151;30;39;22;5;96
2152;15;17;14;4;50
2153;16;17;9;3;45
2154;29;44;25;6;104
2155;74;53;118;10;255
2156;;;;;
2157;19;17;37;6;79
2158;2;6;1;;9
2159;8;7;1;2;18
2160;2;3;1;;6
2161;7;6;;1;14
2162;6;7;;;13
2163;4;4;1;;9
2164;22;25;10;4;61
2165;12;16;7;3;38
2166;13;14;3;;30
2167;3;9;4;1;17
2168;18;22;7;2;49
2169;;;;;
2170;48;49;13;2;112
2171;43;45;23;8;119
2172;90;106;39;6;241
2173;1;;;;1
2174;11;19;4;;34
2175;19;16;4;2;41
2176;5;11;7;;23
2177;12;17;3;1;33
2178;8;9;2;;19
2179;13;9;1;;23
2180;;;;;
2181;24;24;8;;56
2182;32;31;4;1;68
2183;25;24;10;2;61
