Sezioni 2001;000-004;005-009;010-014;015-019;020-024;025-029;030-034;035-039;040-044;045-049;050-054;055-059;060-064;065-069;070-074;075-079;080-084;085-089;090-094;095-099;100-104;105-109;110 e oltre;Totale
0073;;1;;2;1;1;;1;2;2;1;1;4;4;4;5;2;6;1;;;;;38
0074;2;2;1;;1;2;2;4;2;2;2;2;1;4;2;6;2;3;;;;;;40
0075;;;;;;;;;;;;;;;;;;;;;;;;
0076;6;6;3;2;5;7;6;10;4;7;8;10;9;13;17;11;15;11;2;2;;;;154
0077;22;12;16;12;10;16;29;25;30;19;14;15;38;16;23;17;22;16;3;4;;;;359
0078;4;4;12;11;11;12;7;6;11;21;18;20;16;19;22;17;14;9;2;1;;;;237
0079;16;28;21;22;19;22;32;47;40;47;27;33;55;63;55;47;40;21;4;1;;;;640
0080;;;;;;;;;;;;;;;;;;;;;;;;
0081;1;5;4;7;5;4;6;21;17;17;16;13;32;48;67;55;28;16;5;;;;;367
0082;9;10;8;7;4;10;12;19;19;15;9;11;26;34;28;30;26;15;3;1;;;;296
0083;;;;;;;;;;;;;;;;;;;;;;;;
0084;;;;;;;;;;;;;;;;;;;;;;;;
0085;;;;;;;;;;;;;;;;;;;;;;;;
0086;;;;;;;;;;;;;;;;;;;;;;;;
0087;1;3;3;2;1;;;2;8;8;7;1;2;3;3;3;;;;;;;;47
0088;9;3;9;5;5;5;15;14;18;10;10;8;10;7;8;5;5;4;2;;;;;152
0089;4;;3;1;2;5;5;5;6;5;4;3;5;6;4;2;1;3;;;;;;64
0090;18;10;9;9;5;11;21;22;21;13;8;15;15;13;9;10;11;11;3;;1;;;235
0091;;;2;;2;4;10;8;6;5;3;3;10;11;7;4;5;5;1;;;;;86
0092;1;3;2;;2;3;4;1;4;2;1;2;1;3;3;4;1;;;;;;;37
0093;3;4;3;2;6;10;11;9;6;4;11;10;3;2;8;11;6;1;1;;;;;111
0094;6;4;3;2;2;5;11;9;7;3;11;8;7;6;6;1;1;3;;;;;;95
0095;5;5;3;4;10;2;7;6;9;11;12;12;3;6;6;3;5;8;2;3;1;;;123
0096;4;4;7;3;;3;8;13;11;11;4;3;6;5;9;9;13;6;2;1;;;;122
0097;23;16;17;13;10;27;43;34;31;31;28;22;22;12;20;9;19;17;3;2;;;;399
0098;15;10;10;12;11;10;17;25;29;12;19;14;22;15;37;24;14;17;8;1;;;;322
0099;6;6;10;8;3;6;3;10;14;17;6;5;6;8;9;4;5;6;;;;;;132
0100;10;7;4;3;8;5;15;9;11;15;8;8;8;12;10;12;4;3;2;;;;;154
0101;24;9;19;21;17;21;33;36;29;35;20;23;25;20;49;38;23;27;6;2;;;;477
0102;2;1;2;1;4;1;2;2;2;2;1;1;2;;;2;;1;;;;;;26
0103;13;9;5;11;6;13;20;19;17;17;20;14;8;20;26;20;17;14;2;;;;;271
0104;15;12;10;7;10;7;17;25;18;13;18;14;18;6;13;17;14;11;1;;;;;246
0105;6;6;12;5;4;5;9;18;12;19;13;8;9;13;13;10;6;9;;3;;;;180
0106;1;;;;;3;1;1;;;;1;;;2;2;1;;;;;;;12
0107;25;18;13;10;12;27;21;49;53;40;34;11;32;17;22;11;23;6;5;1;1;;;431
0108;6;3;3;2;4;7;20;19;11;10;6;9;1;4;3;4;9;5;1;;;;;127
0109;19;16;13;8;13;14;36;25;33;26;17;23;13;21;20;21;19;6;5;;;;;348
0110;12;7;6;1;3;4;9;9;13;13;8;9;5;7;7;9;8;2;2;;;;;134
0111;;2;2;7;9;7;2;5;2;7;11;13;18;1;5;3;3;4;;1;;;;102
0112;5;6;1;2;3;3;14;9;11;7;5;6;11;9;12;18;12;9;2;1;;;;146
0113;15;11;13;18;16;19;34;32;30;27;21;22;34;20;23;23;15;16;5;2;;;;396
0114;7;5;3;4;3;6;8;11;14;11;5;3;10;2;4;6;2;4;2;1;;;;111
0115;4;2;4;6;4;1;9;13;8;15;10;5;6;7;11;8;2;4;2;1;;;;122
0116;10;8;2;5;6;10;15;19;19;17;10;15;8;11;10;10;9;3;;;;;;187
0117;19;16;11;8;9;23;27;32;43;21;27;19;21;16;13;20;16;8;8;3;;;;360
0118;8;4;7;3;5;8;5;12;11;6;10;5;11;12;7;5;5;3;2;1;;;;130
0119;;;;;;;;;;1;;;1;1;;;;;;;;;;3
0120;14;9;12;8;11;17;22;29;22;23;17;14;20;18;15;19;11;5;2;1;;;;289
0121;;;;;;;;;;;;;;;;2;;;;;;;;2
0122;2;;1;2;2;3;1;7;5;3;1;1;;;;1;;;;;;;;29
0123;;;;;;;;;;;;;;;;;;;;;;;;
0124;8;13;8;7;15;19;33;22;18;24;28;8;19;10;10;17;13;11;4;1;;;;288
0125;;;;;;;;;;;;;;;;;1;;;;;;;1
0126;;;;;;;;;;;;;;;;;;;;;;;;
0127;17;11;3;10;10;28;51;43;30;29;22;18;13;12;6;10;9;5;1;;;;;328
0128;;2;1;;;1;1;2;1;1;;;2;;1;1;;;;;;;;13
0129;;;;;;;;;;;;;;;;1;1;;;;;;;2
0130;26;22;15;10;2;2;7;15;14;4;7;2;;2;5;5;;1;;;;;;139
0131;;;;;2;1;5;1;;2;;2;;2;;;1;;;;;;;16
0132;5;12;8;5;3;4;6;6;13;10;3;8;9;8;12;16;18;14;4;2;;;;166
0133;;;;;;;;;;;;;;;;;;;;;;;;
0134;3;2;2;2;1;2;;10;1;8;3;4;5;5;2;2;8;4;1;;;;;65
0135;3;;2;1;7;2;2;3;3;7;8;5;4;9;2;3;4;1;3;;;;;69
0136;;;;;;;;;;;;;;;;;;;;;;;;
0137;;1;5;3;1;1;2;2;3;7;5;6;1;3;5;2;2;;;1;;;;50
0138;1;;;;1;;1;;;;3;;;1;1;3;3;1;1;;;;;16
0139;2;2;3;1;;;4;4;7;4;;1;2;2;1;;1;1;;;;;;35
0140;27;19;20;28;19;29;55;50;49;42;33;25;29;34;31;21;15;17;2;;1;;;546
0141;;;;;;;;;;;;;1;;1;;;;;;;;;2
0142;26;16;21;26;26;28;47;36;57;44;41;22;37;29;47;35;35;26;7;2;;;;608
0143;3;2;3;5;5;5;10;8;7;7;11;4;10;2;3;6;4;5;2;;;;;102
0144;;;;;;;1;1;;1;1;1;;2;3;;;;;;;;;10
0145;33;24;18;20;23;28;43;59;42;34;47;30;28;30;37;33;22;10;4;2;1;;;568
0146;15;10;14;19;23;28;34;41;33;36;32;39;27;23;17;22;12;12;2;2;;;;441
0147;10;7;7;10;17;14;28;30;18;21;22;19;3;11;28;12;17;23;4;3;;;;304
0148;5;3;11;11;10;5;7;19;27;14;12;17;10;13;30;20;13;14;1;;;;;242
0149;10;11;9;8;6;20;14;15;30;26;28;21;18;30;38;31;23;11;2;;;;;351
0150;15;7;9;13;12;22;23;38;19;26;18;22;19;30;30;26;17;8;4;1;;;;359
0151;6;2;3;2;6;4;6;7;9;8;5;3;6;7;16;12;7;6;1;;;;;116
0152;4;;1;4;3;1;1;3;4;2;6;6;4;3;5;1;2;3;2;1;;;;56
0153;23;18;8;19;30;29;43;55;60;36;39;19;34;42;49;30;21;15;8;;;;;578
0154;20;17;27;18;22;28;63;45;38;32;32;29;41;45;34;15;21;13;4;1;1;;;546
0155;15;19;4;9;14;21;26;34;26;27;25;27;34;12;29;23;26;16;2;2;;;;391
0156;;;;;;;;;;;;;;;;;;;;;;;;
0157;;;;;;;;;;;;;;;;;;;;;;;;
0158;1;2;1;2;1;;1;2;4;1;3;1;1;3;3;1;;1;;;;;;28
0159;;1;2;2;2;;;1;2;2;1;;;;;;;;;;;;;13
0160;;;;2;1;1;;1;1;1;3;1;2;3;4;2;;1;;1;;;;24
0161;4;8;2;4;;2;6;6;6;9;8;2;1;;1;;;;;;;;;59
0162;1;;;;;;1;1;;;;;1;;1;;;;;;;;;5
0163;;1;3;1;1;1;6;2;3;3;3;;1;2;4;2;;;;;;;;33
0164;7;4;;;1;;4;3;4;2;3;;1;2;4;4;1;2;;;;;;42
0165;2;4;2;1;;2;2;3;3;2;;1;5;2;1;1;;;;;;;;31
0166;;;;;;;;;;;;;;;;;;;;;;;;
0167;;;;;;;;;;;;;;;;;;;;;;;;
0168;12;17;14;10;20;10;19;17;31;23;26;26;37;31;29;18;18;11;4;1;;;;374
0169;34;28;16;12;15;42;47;60;46;43;27;35;50;54;46;16;15;8;1;1;;;;596
0170;;;;;;2;;;;;;1;3;3;3;;;3;;;;;;15
0171;37;35;11;15;32;53;54;82;52;39;75;55;51;63;41;22;13;9;1;1;;;;741
0172;5;4;;1;;2;;3;3;2;2;1;3;2;;;;1;;;;;;29
0173;17;13;19;12;16;12;24;30;29;35;27;26;54;35;51;20;18;8;1;2;;;;449
0174;37;49;25;22;20;27;53;65;69;50;39;36;61;45;44;34;19;11;3;1;;;;710
0175;;;;;;1;;;;1;;2;;;1;1;;;;;;;;6
0176;4;11;15;10;11;16;18;17;21;28;32;44;78;50;47;29;22;10;2;1;1;;;467
0177;11;19;17;12;9;15;15;20;29;38;21;20;23;19;45;27;21;10;3;2;;;;376
0178;6;3;4;2;4;7;5;7;3;9;1;8;6;4;10;7;6;1;1;1;;;;95
0179;;;;;;;;;;;;;;;;;;;;;;;;
0180;11;10;6;3;7;13;11;14;17;14;14;21;26;14;22;6;4;2;;;;;;215
0181;;;;;;;;;;;;;;;;;;;;;;;;
0182;24;28;34;25;22;20;34;36;37;46;36;50;48;39;40;32;27;9;6;4;;;;597
0183;6;3;6;4;4;10;9;12;11;9;10;14;6;3;9;6;5;1;1;;;;;129
0184;;;;;;;;;;1;2;;;;;;2;;;;;;;5
0185;;1;1;1;;;2;;3;2;1;1;1;;3;;;;;;;;;16
0186;8;6;6;4;5;2;5;9;7;7;7;4;4;5;4;3;4;;;;;;;90
0187;;;;;;;;;;1;;2;;;;;2;1;;;;;;6
0188;;;;;;;1;;;;;4;1;;1;;;;;;;;;7
0189;;;;;;1;;;;1;;;1;1;3;;;;;;;;;7
0190;;;;;;;;;;;;;;;;;;;1;;;;;1
0191;1;1;4;;1;1;1;2;2;4;1;1;3;1;;;;;;1;;;;24
0192;;;;;2;1;2;1;;;2;2;2;;;;;;;;;;;12
0193;2;3;3;1;;1;2;3;;;2;;;;;;;;;;;;;17
0194;1;3;;3;2;2;;1;2;2;2;1;3;1;1;;;;;;;;;24
0195;;;1;;1;1;;;;2;;1;;;2;;;;;;;;;8
0196;3;6;8;10;6;12;9;6;13;7;20;10;13;17;9;8;5;9;1;;;;;172
0197;2;4;4;;5;;6;8;10;5;2;2;2;5;2;;1;;;1;;;;59
0198;;2;2;3;1;7;4;7;6;5;6;2;7;5;5;3;2;3;;;1;;;71
0199;3;3;3;6;4;5;2;5;3;7;7;4;6;2;5;3;1;;;;;;;69
0200;;;;;;;;;;;;;;;;;;;;;;;;
0201;;;;;;;;;;;;1;1;3;2;3;10;16;13;5;;;;54
0202;;1;3;1;;;;4;1;;;;1;2;1;;;;;;;;;14
0203;8;2;2;3;3;11;12;13;11;6;4;2;1;;;;3;;;;;;;81
0204;;;;;;;;;;;;;;;;1;1;;;;;;;2
0205;8;19;18;20;9;6;7;18;30;30;34;22;24;15;17;8;9;6;;1;;;;301
0206;5;5;6;7;10;10;10;10;9;15;13;9;19;18;21;12;6;5;1;;;;;191
0207;;;;;;;;;;;;;;;;;;;;;;;;
0208;;;;;;;;;;;;;;;;;;;;;;;;
0209;;;;;;;;;;;;;;;;;;;;;;;;
0210;;;;;;;;;;;;;;;;;;;;;;;;
0211;12;14;12;10;14;18;23;22;26;26;20;34;25;28;26;26;14;16;2;3;;;;371
0212;10;9;7;11;15;7;12;29;28;23;29;13;13;16;18;22;24;7;5;1;;;;299
0213;6;6;4;6;4;5;6;11;15;8;8;5;8;6;6;10;13;3;;;;;;130
0214;8;11;8;2;5;7;21;14;12;9;12;5;10;14;12;8;8;5;3;;;;;174
0215;4;2;3;5;4;6;7;12;11;8;5;4;6;1;3;3;4;4;3;;1;;;96
0216;11;17;7;7;6;15;13;28;20;22;11;6;18;19;16;7;12;12;5;;;;;252
0217;;;;;;;;;;;;;;;;;;;;;;;;
0218;;;;;;;;1;1;;3;1;1;1;;;;;;;;;;8
0219;4;2;;;;5;6;13;5;4;1;1;1;6;5;11;17;21;13;7;;;;122
0220;;;1;1;;;;;1;1;1;1;1;;;;;2;;;;;;9
0221;3;3;2;1;2;1;2;4;6;6;2;1;;;;1;;;;;;;;34
0222;;;;;;;;2;2;4;;2;;;;;;;;;;;;10
0223;;;;;;;;;;;;;;;;;;;;;;;;
0224;;;;;;;;;;;;;;;;;;;;;;;;
0225;1;2;2;1;;1;;;2;6;;;;;1;;;;;;;;;16
0226;2;2;;;1;1;5;1;3;3;1;3;1;1;1;1;;2;;;;;;28
0227;;;;;;;;;;;;;;;;;;;;;;;;
0228;5;5;3;5;6;3;4;2;7;6;3;2;;1;;1;;;;;;;;53
0229;14;12;11;13;9;30;26;20;30;26;23;22;20;27;41;24;18;12;8;2;1;;;389
0230;12;17;21;29;17;18;22;32;47;36;40;32;44;30;34;22;20;9;6;1;;;;489
0231;8;7;4;3;5;2;6;16;21;17;9;1;8;3;4;;2;;;2;;;;118
0232;2;5;5;2;2;2;4;8;4;8;10;5;8;5;8;14;9;2;;2;;;;105
0233;6;6;4;6;7;11;6;10;10;19;13;12;9;9;18;7;14;12;2;3;;;;184
0234;7;10;2;10;11;15;25;15;17;15;21;21;12;7;5;10;8;13;3;1;;;;228
0235;6;2;5;3;8;7;11;14;7;13;11;7;5;;6;2;4;2;1;;;;;114
0236;4;2;1;3;2;3;3;3;6;2;8;3;5;7;10;5;9;1;2;1;;;;80
0237;6;2;3;2;5;4;10;13;6;11;9;3;8;12;11;4;8;4;4;1;;;;126
0238;8;8;4;8;11;19;19;18;14;30;14;10;11;6;8;19;8;9;2;1;;;;227
0239;7;8;6;10;10;29;15;23;27;19;18;21;16;5;14;10;18;8;1;;;;;265
0240;12;5;3;;3;5;15;7;18;12;9;5;10;4;10;3;8;2;;;;;;131
0241;12;6;8;15;11;26;34;29;21;25;16;17;22;7;21;18;18;13;1;1;;;;321
0242;27;11;3;11;21;37;52;48;45;35;29;20;24;12;18;15;11;15;5;1;;;;440
0243;13;13;8;3;18;35;55;45;42;38;17;9;16;19;7;10;8;7;3;1;;;;367
0244;;2;2;3;;;8;4;3;6;;5;4;3;3;1;2;2;;;;;;48
0245;;1;1;;;;;1;1;;;;;;;;;;;;;;;4
0246;4;2;4;2;1;6;7;11;7;7;5;1;2;3;5;;1;;;;;;;68
0247;11;12;18;9;9;20;17;34;33;43;23;21;18;17;26;19;14;8;1;;;;;353
0248;11;10;8;7;9;19;18;20;26;17;15;7;18;16;5;13;10;6;4;1;;;;240
0249;5;8;7;7;14;22;21;16;19;24;28;30;31;30;21;19;20;14;2;1;;;;339
0250;28;12;14;21;2;5;13;14;4;10;1;3;3;5;1;1;;2;;;;;;139
0251;24;10;10;15;8;35;40;53;39;35;21;25;26;17;22;18;18;12;6;6;;;;440
0252;1;5;4;5;5;7;10;11;14;11;13;6;14;12;13;10;7;4;2;;;;;154
0253;;;;;;;;;;;;;;;;;;;;;;;;
0254;17;12;18;11;16;20;28;37;32;36;27;19;25;17;26;11;15;10;7;1;;;;385
0255;13;15;8;10;9;15;27;23;32;11;17;15;23;12;12;10;9;10;8;3;1;;;283
0256;16;18;22;22;23;37;44;47;44;44;32;28;18;18;17;17;16;15;6;3;;;;487
0257;15;4;11;13;31;25;27;24;32;34;38;31;27;17;15;15;14;9;3;2;;;;387
0258;24;12;9;11;19;24;32;38;29;22;22;17;13;28;24;26;15;6;3;;;;;374
0259;3;7;2;3;1;5;9;7;7;8;4;1;4;7;2;4;3;1;;;;;;78
0260;4;7;7;8;5;10;15;17;19;13;14;11;8;12;12;20;18;11;2;;;;;213
0261;3;10;14;15;15;21;30;31;22;33;31;21;27;20;18;34;28;14;2;;;;;389
0262;18;9;13;13;17;29;35;39;32;32;27;23;22;13;30;28;14;11;8;;;;;413
0263;16;5;7;9;12;27;39;34;41;32;27;31;36;23;26;22;27;19;8;2;;;;443
0264;9;4;9;5;11;14;14;11;10;10;14;15;11;4;12;9;7;14;5;3;;;;191
0265;15;9;10;11;11;28;35;31;26;30;21;16;18;17;11;18;14;11;5;1;;;;338
0266;13;10;2;8;11;11;16;29;23;16;14;15;13;14;12;13;17;8;2;1;;;;248
0267;5;3;2;2;3;4;9;12;5;12;7;6;6;6;2;7;9;9;2;;;;;111
0268;7;4;11;13;15;13;21;19;21;21;16;10;17;12;15;16;15;12;3;2;;;;263
0269;26;16;17;12;18;38;58;53;36;40;39;21;26;20;19;20;17;10;;2;;;;488
0270;31;19;8;12;27;34;59;43;48;33;35;24;19;17;22;31;19;10;2;1;1;;;495
0271;2;3;4;4;2;9;7;9;15;6;7;12;7;8;6;10;11;3;7;;;;;132
0272;12;17;12;8;10;11;14;16;14;16;8;9;8;10;12;11;5;4;;;;1;;198
0273;17;20;17;10;8;10;13;13;20;14;9;7;8;9;5;10;11;3;3;1;;;;208
0274;4;4;5;6;7;13;12;12;8;9;18;7;13;7;1;9;6;4;;;;;;145
0275;1;7;5;9;4;9;8;11;12;10;7;12;7;5;4;1;4;4;2;;;;;122
0276;8;9;6;7;9;7;16;19;13;17;13;13;17;9;7;4;18;5;3;;;;;200
0277;26;24;25;32;13;31;27;38;32;33;30;27;24;23;14;15;22;18;3;1;;;;458
0278;2;4;2;3;4;3;9;5;6;10;2;3;2;1;4;3;4;1;;;;;;68
0279;4;14;7;3;7;6;18;13;18;7;7;6;16;8;13;7;10;6;1;1;1;;;173
0280;7;7;2;2;2;8;8;12;11;10;7;3;10;5;4;6;2;6;1;1;;;;114
0281;21;10;11;9;15;27;39;43;30;33;22;22;17;9;19;26;18;15;2;4;;;;392
0282;25;25;27;24;18;17;21;18;24;30;24;13;21;22;30;22;42;13;5;4;1;;;426
0283;26;25;25;21;22;15;19;38;32;14;23;31;29;22;34;39;42;21;8;4;;;;490
0284;7;7;3;6;4;5;5;12;13;11;16;5;10;10;11;13;21;6;6;1;1;;;173
0285;12;10;12;9;8;9;13;19;14;13;12;13;8;14;13;11;7;6;4;;;;;207
0286;3;2;;2;2;4;7;11;4;3;3;3;7;;4;4;3;;1;;;;;63
0287;17;10;12;20;14;22;20;33;32;26;16;21;15;20;20;16;17;16;3;1;1;;;352
0288;7;7;15;9;13;3;15;19;16;30;15;13;24;33;19;23;26;17;4;3;;;;311
0289;3;7;2;5;9;18;13;11;10;16;19;7;13;6;5;8;8;3;;;;;;163
0290;12;8;7;17;17;25;36;32;29;33;26;44;38;26;13;21;24;19;7;2;;;;436
0291;8;3;1;4;5;11;11;18;15;6;11;8;8;12;5;6;10;2;;;;;;144
0292;1;;;;;1;2;;;;1;;1;1;;;1;;;1;;;;9
0293;2;5;1;5;6;9;28;21;10;10;11;9;8;7;5;3;6;4;;2;;;;152
0294;2;1;3;3;5;3;7;7;3;9;4;2;1;1;2;;;2;;;;;;55
0295;;;;;;;;;;;;;;;;;;;;;;;;
0296;14;12;12;10;14;18;35;32;36;30;21;20;19;27;16;15;17;10;6;3;;;;367
0297;;;;;;;;;;;;;;;;;;;;;;;;
0298;;;;3;2;6;3;2;;5;2;5;4;1;3;3;3;2;1;;;;;45
0299;;;;;;;;;;;;;;;;;;;;;;;;
0300;4;6;6;7;7;17;14;18;18;13;18;11;7;10;11;9;9;7;5;2;;;;199
0301;9;9;14;7;6;11;19;18;22;22;16;13;18;20;23;15;10;11;6;;;;;269
0302;6;4;3;2;2;2;6;7;6;2;1;;1;2;;2;;;;;;;;46
0303;26;21;16;12;24;26;45;55;33;39;25;17;20;26;41;24;14;8;1;1;;;;474
0304;10;13;8;4;8;10;16;14;15;12;10;6;11;4;9;13;3;2;;;;;;168
0305;1;3;2;5;5;7;16;13;11;13;5;5;4;5;5;2;2;5;2;;;;;111
0306;26;19;14;11;14;21;38;34;49;28;26;15;15;21;20;22;23;14;4;;;;;414
0307;29;13;15;12;24;21;36;39;35;20;19;20;25;20;14;21;10;10;3;2;;;;388
0308;15;17;19;24;25;30;50;33;44;43;45;26;24;18;14;23;15;11;4;2;;;;482
0309;19;14;17;7;24;21;34;41;46;33;27;13;7;16;16;17;9;11;1;2;;;;375
0310;;;;;2;;;1;;2;;1;1;;;;;;;;;;;7
0311;18;15;15;12;21;22;26;32;38;36;20;19;15;15;17;21;23;12;7;2;;;;386
0312;10;9;7;6;10;11;16;14;16;16;11;10;12;14;15;16;15;10;3;1;;;;222
0313;13;17;5;8;6;11;25;22;36;36;17;12;16;18;13;19;7;3;;1;;;;285
0314;;;;;2;2;1;1;;1;4;5;3;3;;2;2;;;;;;;26
0315;7;4;4;6;4;14;6;18;21;21;13;13;11;15;15;6;16;13;5;;;;;212
0316;10;11;16;11;19;17;29;30;35;27;17;19;20;19;34;27;24;18;4;3;;;;390
0317;9;16;12;11;13;21;22;24;27;32;19;21;15;31;32;17;12;10;3;2;;;;349
0318;15;15;16;16;16;23;20;26;33;28;28;16;17;5;12;14;17;4;6;2;;;;329
0319;13;7;2;5;14;17;31;35;26;22;8;11;9;4;6;13;9;8;4;;;;;244
0320;;;;;;;;;;;;;;;;;;;;;;;;
0321;;;;;;;;;;;;;;;;;;;;;;;;
0322;10;13;8;5;16;21;30;30;25;29;19;15;16;21;12;16;14;2;2;;;;;304
0323;56;22;18;12;42;66;122;113;79;63;48;42;39;22;8;5;6;3;2;;;;;768
0324;16;13;10;12;21;37;56;44;45;27;21;21;21;15;14;16;17;8;;2;1;;;417
0325;27;21;24;17;27;33;60;42;59;59;40;29;33;25;25;24;16;19;11;4;;;;595
0326;24;5;7;11;19;24;40;44;36;22;29;24;15;10;13;14;15;9;3;;;;;364
0327;11;7;13;5;10;28;19;21;9;17;16;11;14;10;6;10;5;7;;;;;;219
0328;5;6;12;6;4;7;15;14;16;18;14;3;9;10;9;5;8;7;;;;;;168
