Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
PORTO;SCUOLA DELL'INFANZIA;S.TERESA DEL BAMBIN GESU MAESTRE PIE DELL'ADDOLORATA (MONTELLO);Privata paritaria;MAESTRE PIE DELL'ADDOLORATA;VIA MONTELLO n.42;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;SAN VINCENZO DE' PAOLI;Privata convenzionata;SAN VINCENZO DE' PAOLI;VIA MONTEBELLO n.3;BOLOGNA;BOLOGNA
PORTO;SCUOLA PRIMARIA;DE AMICIS;Statale;ISTITUTO COMPRENSIVO N. 18;VIA MILAZZO n.3/1;BOLOGNA;BOLOGNA
PORTO;SCUOLA PRIMARIA;FIGLIE DI SANT'ANNA;Privata paritaria;FIGLIE DI SANT'ANNA;VIA PIAVE n.2;BOLOGNA;BOLOGNA
PORTO;SCUOLA PRIMARIA;GUIDI TERESINA;Statale;ISTITUTO COMPRENSIVO N. 17;VIA CALORI n.8;BOLOGNA;BOLOGNA
PORTO;SCUOLA PRIMARIA;MONTERUMICI;Statale;ISTITUTO COMPRENSIVO N. 18;VIA ASIAGO n.33;BOLOGNA;BOLOGNA
PORTO;SCUOLA PRIMARIA;OSPEDALE MAGGIORE;Statale;ISTITUTO COMPRENSIVO N. 18;LARGO BARTOLO NIGRISOLI n.2;BOLOGNA;BOLOGNA
PORTO;SCUOLA PRIMARIA;S.TERESA DEL BAMBIN GESU MAESTRE PIE DELL'ADDOLORATA (MONTELLO);Privata paritaria;MAESTRE PIE DELL'ADDOLORATA;VIA MONTELLO n.42;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI PRIMO GRADO;DANTE ALIGHIERI;Statale;ISTITUTO COMPRENSIVO N. 18;VIA ASIAGO n.33;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI PRIMO GRADO;GANDINO;Statale;ISTITUTO COMPRENSIVO N. 17;VIA GRAZIANO n.8;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI PRIMO GRADO;S.TERESA DEL BAMBIN GESU MAESTRE PIE DELL'ADDOLORATA (MONTELLO);Privata paritaria;;VIA MONTELLO n.42;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI SECONDO GRADO;"IPSSCTP ""ALDROVANDI-RUBBIANI""";Statale;ISTITUTO ALDROVANDI - RUBBIANI;VIA MARCONI n.40;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI SECONDO GRADO;"ISTITUTO PROFESSIONALE  DI STATO ""A. FIORAVANTI""";Statale;ISTITUTO PROFESSIONALE A. FIORAVANTI;VIA DON MINZONI n.17;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO CLASSICO MINGHETTI;Statale;LICEO CLASSICO MINGHETTI;VIA NAZARIO SAURO n.18;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO SAN VINCENZO DE' PAOLI;Privata paritaria;SAN VINCENZO DE' PAOLI ;VIA MONTEBELLO n.3;BOLOGNA;BOLOGNA
PORTO;SCUOLA SECONDARIA DI SECONDO GRADO;S.TERESA DEL BAMBIN GESU MAESTRE PIE DELL'ADDOLORATA (MONTELLO);Privata paritaria;;VIA MONTELLO n.42;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;A. GRAMSCI;Comunale;;VIA TOLSTOI n.3;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;ALBICOCCOLE;Privata convenzionata;;VIA EMILIA PONENTE n.121;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;FANTINI L.;Comunale;;VIA LORENZETTI n.8;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;GRAZIELLA FAVA;Comunale;;VIA DEL GIACINTO n.42;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;IL CASTELLO INCANTATO;Privata convenzionata;;VIA MARCOVIGI n.8/B;BOLOGNA;BOLOGNA
RENO;NIDO D'INFANZIA;S. ALLENDE;Comunale;;VIA GAMBERINI n.2;BOLOGNA;BOLOGNA
RENO;PICCOLO GRUPPO EDUCATIVO;IL CASTELLO INCANTATO;Privata;;VIA MARCOVIGI n.8/B;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;ALBERTAZZI;Comunale;QUARTIERE RENO;VIA BERRETTA ROSSA n.15;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;CRISTO RE;Privata convenzionata;CRISTO RE;VIA EMILIA PONENTE n.135;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;DON MILANI;Comunale;QUARTIERE RENO;VIA GUCCI n.14;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;FANTINI L.;Comunale;QUARTIERE RENO;VIA LORENZETTI n.8;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;GIORGIO MORANDI;Comunale;QUARTIERE RENO;VIA DEL BECCACCINO n.27;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;GIOVANNI XXIII;Statale;ISTITUTO COMPRENSIVO N. 1;VIA GIOVANNI VERGA n.4;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;IRMA PEDRIELLI;Comunale;QUARTIERE RENO;VIA DEL GIACINTO n.35;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;LUIGI PAGANI;Privata convenzionata;LUIGI PAGANI;VIA PIERO DELLA FRANCESCA n.3;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;PRESI;Comunale;QUARTIERE RENO;VIA TOLSTOI n.1;BOLOGNA;BOLOGNA
RENO;SCUOLA DELL'INFANZIA;SERAGNOLI;Comunale;QUARTIERE RENO;VIA SPERANZA n.32;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;ALBERTAZZI;Statale;ISTITUTO COMPRENSIVO N. 2;VIA BERRETTA ROSSA n.15;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;CESANA;Statale;ISTITUTO COMPRENSIVO N. 1;VIA GUARDASSONI n.1;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;DE VIGRI;Statale;ISTITUTO COMPRENSIVO N. 2;VIA DEL GIACINTO n.37;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;DRUSIANI EX RIZZO;Statale;ISTITUTO COMPRENSIVO N. 2;VIA SPERANZA n.58;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;GIORGIO MORANDI;Statale;ISTITUTO COMPRENSIVO N. 1;VIA DEL BECCACCINO n.27;BOLOGNA;BOLOGNA
RENO;SCUOLA PRIMARIA;GIOVANNI XXIII PRIMARIA;Statale;ISTITUTO COMPRENSIVO N. 1;VIA LEONARDO DA VINCI n.3;BOLOGNA;BOLOGNA
RENO;SCUOLA SECONDARIA DI PRIMO GRADO;GIUSEPPE DOZZA;Statale;ISTITUTO COMPRENSIVO N. 1;VIA DE CAROLIS n.23;BOLOGNA;BOLOGNA
RENO;SCUOLA SECONDARIA DI PRIMO GRADO;ZANOTTI;Statale;ISTITUTO COMPRENSIVO N. 2;VIA DEL GIACINTO n.39;BOLOGNA;BOLOGNA
