SERVIZIO;ON-LINE;TOTALE
NIDO D'INFANZIA;698;2893
SCUOLA DELL'INFANZIA;628;3266
SERVIZI INTEGRATIVI SCUOLA DELL'INFANZIA;539;3064
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;536;3828
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;163;1127
