CODVIA;DENOMINAZIONE
25930;VIA ANGELO GATTI
25950;VIA AUGUSTO GAUDENZI
25960;VIA ARTURO GAZZONI
26000;VIA DEI GELSI
26050;VIA VINCENZO GEMITO
26100;VIA DEL GENIO
26130;VIA GENOVA
26150;VIA GERUSALEMME
26200;VIA S.GERVASIO
26250;VIA DEI GESSAROLI
26300;VIA DE' GESSI
26330;ROTONDA ARMANDO GHEDINI
26350;VIA GHERARDO GHERARDI
26360;ROTONDA PIETRO GHERARDINI
26400;VIA GHIARE
26450;VIA LORENZO GHIBERTI
26500;VIA LUCA GHINI
26550;VIA CHERUBINO GHIRARDACCI
26600;VIA GHERARDO GHIRARDINI
26650;VICOLO GHIRLANDA
26700;VIA ANTONIO F. GHISELLI
26750;VIA DELLA GHISILIERA
26800;VIA DEL GIACINTO
26850;VIA GIROLAMO GIACOBBI
26880;VIA ERCOLE GIACOMINI
26900;VIA S.GIACOMO
26930;VIA GIUSEPPE GIACOSA
26950;VIA GIAMBOLOGNA
27000;VIA PIETRO GIANNONE
27030;VIA DEI GIARDINI
27050;VIA BENIAMINO GIGLI
27100;VIA DEL GIGLIO
27130;VIA GIUSEPPE GIOANNETTI
27150;VICOLO S.GIOBBE
27200;VIA GAETANO GIORDANI
27250;VIA UMBERTO GIORDANO
27300;VIA S.GIORGIO
27350;VIA GIORGIONE
27400;VIA GIOTTO
27430;PIAZZA GIOVANNI DA VERRAZZANO
27450;P.ZZA S.GIOVANNI IN MONTE
27500;P.ZZA GIOVANNI XXIII
27550;VIA ALCESTE GIOVANNINI
27600;VIA DE' GIUDEI
27650;VIA S.GIULIANO
27680;VIA GIULIO II
27690;VIA GIUNIO BRUTO
27700;VIALE MARIO GIURINI
27710;VIA ANTONIO GIURIOLO
27750;VIA S.GIUSEPPE
27800;VIA GIUSEPPE GIUSTI
27850;VIA DON CARLO GNOCCHI
27900;VIA ENIO GNUDI
27910;VIA CESARE GNUDI
27930;VIA STEFANO GOBATTI
27950;VIA PIERO GOBETTI
27970;VIA WOLFGANG GOETHE
27980;VIA NICOLA GOGOL
28000;VIA PIER GABRIELE GOIDANICH
28050;VIA GOITO
28100;VIA CARLO GOLDONI
28150;VIA TULLO GOLFARELLI
28200;VIA GOLFREDA
28250;VIA ENRICO GOLINELLI
28300;VIA DE' GOMBRUTI
28350;VIA DEL GOMITO
28400;VIA GORIZIA
28420;VIA MASSIMO GORKI
28430;VIA MICHELE GORTANI
28440;ROTONDA BITTISIA GOZZADINI
28450;VIALE GIOVANNI GOZZADINI
28480;VIA GUIDO GOZZANO
28490;ROTONDA GIUSEPPE GOZZETTI
28500;VIA BENOZZO GOZZOLI
28550;VIA GIUSEPPE GRABINSKI
28570;VIA DEI GRACCHI
28600;VIA DELLA GRADA
28650;VIA ANTONIO GRAMSCI
28670;ROTONDA GRANATIERI DI SARDEGNA
28700;VIA ACHILLE GRANDI
28740;VIA ANNA GRASSETTI
28750;VIA DELLA GRAZIA
28770;ROTONDA VERENIN GRAZIA
28800;VIA ANTONIO GRAZIADEI
28840;VIA ERCOLE GRAZIANI
28850;VIA GRAZIANO
28880;VIA GREGORIO XIII
28900;VIA DEL GRETO
28950;VIA RUGGERO GRIECO
29000;VIA DE' GRIFFONI
29050;VIA PADRE FRANCESCO GRIMALDI
29100;VIA LEONELLO GROSSI
29150;VIA FRATELLI GRUPPI
29180;ROTONDA BRUNO GUALANDI
29200;VIA GIUSEPPE CESARE GUALANDI
29210;VIA HENGHEL GUALDI
29230;VIA DON LUIGI GUANELLA
29250;VIA ALESSANDRO GUARDASSONI
29300;VIA FRANCESCO GUARDI
29350;VIA DELLA GUARDIA
29370;VIA FEDERIGO GUARDUCCI
29400;VIA DEL GUASTO
29450;VIA GUAZZALOCA
29480;VIA PIETRO GUBELLINI
29500;VIA LINO GUCCI
29550;VIA GUELFA
29600;VIA GUERRAZZI
29650;VIA OLINDO GUERRINI
29700;VIA DOMENICO GUGLIELMINI
29730;ROTONDA TOMMASINA GUIDI
29750;VIA GIUSEPPE GUIDICINI
29800;VIA ALESSANDRO GUIDOTTI
29850;VIA GUIDO GUINIZELLI
29870;VIA EVARISTO GUIZZARDI
29880;VIA DELL'IDRAULICO
29900;PIAZZALE MARIO JACCHIA
29950;VIA JACOPO DELLA LANA
30000;VIA JACOPO DELLA QUERCIA
30050;VIA JACOPO DI PAOLO
30080;VIA PIERO JAHIER
30100;VIA DI JANO
30130;VIA IMOLA
30140;VIA DELL'INCISORE
30150;VIA DELL'INDIPENDENZA
30160;PIAZZA RENZO IMBENI
30180;VIA DELL'INDUSTRIA
30200;VIA DELL'INFERNO
30240;VIA SCIPIONE INNOCENTI
30250;VIA INNOCENZO DA IMOLA
30280;VIA DELL'INTAGLIATORE
30300;VIA PIETRO INVITI
30350;VIA DI JOLA
30400;VIA IRNERIO
30450;VIA S.ISAIA
30500;PIAZZA DI PORTA S.ISAIA
30520;CORTE ISOLANI
30550;VIA DELL'ISONZO
30570;VIA ISTRIA
30580;ROTONDA ITALIA
30600;VIA CARLO JUSSI
30620;VIA MARTIN LUTHER KING
30630;VIA KHARKOV
30640;VIA ROBERTO KOCH
30650;VIA DE LA BOVA
30660;VIA ANTONIO LABRIOLA
30670;VIA UGO LA MALFA
30680;PIAZZA GRIGORIS LAMBRAKIS
30700;VIA DELLE LAME
30750;MURA DI PORTA LAME
30800;VIA DEI LAMPONI
30820;VIA BRUNO LANZARINI
30830;VIA LANCIANO
30840;VIA DEI LAPIDARI
30850;VIA LARGA
30860;VIA GIORGIO LA PIRA
30870;VIA GIUSEPPE ANTONIO LANDI
30900;VIA DELLE LASTRE
30950;VIA TOMMASO LAURETI
31000;VIA DEL LAVORO
31030;ROTONDA LAVORATORI LICENZIATI PER RAPPRESAGLIA
31050;VIA LAZIO
31100;VIA DEL LAZZARETTO
31130;ROTONDA ANTONIO LECCHI
31150;VIA SILVESTRO LEGA
31170;VIA ALBERTO LEGNANI
31180;VIA DEL LEGATORE
31200;VIA LEGNANO
31250;VIA LELIO DALLA VOLPE
31300;VIA ERCOLE LELLI
31350;VIA LEMONIA
31370;VIALE ILIC ULJANOV LENIN
31400;VIA UGO LENZI
31500;VIA S.LEONARDO
31550;VIA LEONARDO DA VINCI
31600;VIA RUGGERO LEONCAVALLO
31650;GALLERIA DEL LEONE
31700;VIA GIACOMO LEOPARDI
31750;VIA DE' LEPROSETTI
31780;LARGO CARD. GIACOMO LERCARO
31800;VIA LETIZIA
31850;VIA ANTONIO LEVANTI
31880;VIA TULLIO LEVI CIVITA
31890;VIA DELLA LIBERA PROFESSIONE
31900;VIA S. LIBERATA
31910;PIAZZA LIBER PARADISUS
31930;ROTONDA DELLA LEONA
31940;VIA PIETRO LIANORI
31950;VIA DELLA LIBERAZIONE
32000;VIA DELLA LIBERTA'
32050;VIA LIBIA
32100;VIA LICINIA
32130;VIA LIDICE
32150;VIA LIGURIA
32180;VIALE ABRAMO LINCOLN
32200;VIA AMEDEO LIPPARINI
32230;PIAZZA GIUSEPPE LIPPARINI
32250;VIA LIPPO DI DALMASIO
32280;VIA DEL LITOGRAFO
32300;VIA GIOVANNI LIVRAGHI
32350;VIA LODERINGO DEGLI ANDALO'
32380;VIA IVO LOLLINI
32400;VIA ALFONSO LOMBARDI
32450;VIA LOMBARDIA
32460;VIA JACK LONDON
32470;VIA LONGARONE
32480;VIA MARIO LONGHENA
32490;VIA A. E P. LORENZETTI
32500;VIA S.LORENZO
32510;VIA LUIGI LONGO
32520;VIA ROBERTO LONGHI
32530;VIA LORENZO DA BAGNOMARINO
32550;VIA PIETRO LORETA
32600;VIALE LIBERO LOSSANTI
32650;VIA DI S.LUCA
32700;VIA LUCANIA
32740;VIA ARRIGO LUCCHINI
32750;VICOLO S.LUCIA
32760;VIA VITTORIO LUGLI
32770;VIA LUGO
32780;VIA DELLA LUNA
32800;VICOLO LURETTA
32810;VIALE LUNGOSAVENA
32850;VIA DAL LUZZO
32890;VIA GIORGIO MACCAFERRI
32900;VIA MACCAFERRO
32950;VIA DEL MACELLO
33000;VIA DEI MACERI
33050;VIA NICOLO' MACHIAVELLI
33080;VIA MAESTRI DEL LAVORO
33090;ROTONDA PRINCIPESSA MAFALDA DI SAVOIA
33100;VIA ARGIA MAGAZZARI
33150;VIA FERDINANDO MAGELLANO
33200;VIA AMBROGIO MAGENTA
33250;VIA MAGGIA
33300;PIAZZA MAGGIORE
33350;STRADA MAGGIORE
33400;PIAZZA DI PORTA MAGGIORE
33450;VIA GIOVANNI ANTONIO MAGINI
33500;VIA FERRUCCIO MAGNANI
33510;ROTONDA IGNAZIO MAGNANI
33530;VIA FRANCESCO MAGNI
33540;VIA PIETRO MAINOLDI
33550;VIA AUGUSTO MAJANI
33580;VIA DOMENICO MAJOCCHI
33600;VIA QUIRINO MAJORANA
33630;VIA GIUSEPPE MALAGOLI
33650;VIA FAUSTINO MALAGUTI
33680;ROTONDA ONORATO MALAGUTI
33700;VIA ERRICO MALATESTA
33750;VIA MALCONTENTI
33800;VICOLO MALGRADO
33830;ROTONDA CESARE MALOSSI
33850;VIA MALPERTUSO
33900;PIAZZA MALPIGHI
33950;VIA MALTA
34000;VIA INNOCENZO MALVASIA
34050;VIA MALVEZZA
34100;VIA MALVOLTA
34150;VIA GOFFREDO MAMELI
34200;VIA S.MAMOLO
34250;PIAZZA DI PORTA S.MAMOLO
34280;VIA LUCIANO MANARA
34290;VIA M. E L. MANCINELLI
34300;VIA ANTONIO MANCINI
34350;VICOLO MANDRIA
34400;VIA EUSTACHIO MANFREDI
34450;VIA DELLA MANIFATTURA
34500;VIA DANIELE MANIN
34550;VIA ANDREA MANTEGNA
34580;VIA ALDO PIO MANUZIO
34590;VIA ALBERTO MANZI
34600;VIA MANZONI
34650;VIA ANSELMO MARABINI
34700;VIA S.MARCELLINO
34750;VIA BENEDETTO MARCELLO
34800;VIA MARCHE
34850;VIA MARCHESANA
34860;ROTONDA LEONILDO MARCHESELLI
34900;VIA GIOVANNI MARCHETTI
34950;VIA ROSSANO MARCHIONI
35000;VIA CARLOTTA MARCHIONNI
35030;VIA MARCO ANTONIO
35050;VIA MARCO CELIO
35100;VIA MARCO EMILIO LEPIDO
35150;GALLERIA GUGLIELMO MARCONI
35200;VIA GUGLIELMO MARCONI
35250;VIA MARCO POLO
35260;VIA GIULIO MARCOVIGI
35270;VIA DON OLINTO MARELLA
35300;VIA LUCA MARENZIO
35350;VIA MARESCALCHI
35370;PASSAGGIO A. MARESCALCHI
35380;VIA GALEAZZO MARESCOTTI
35400;VIA S.MARGHERITA
35450;VIA S. MARGHERITA AL COLLE
35500;VIA S.MARIA
35550;VIA S.MARIA MAGGIORE
35580;VIA ANGELO MARIANI
35600;VIA VIRGINIA MARINI
35650;VICOLO MARISCOTTI
35700;VIA PIERO MARONCELLI
35750;VIA MARSALA
35800;VIA MARSILI
35850;VIA TOMMASO MARTELLI
35900;VIA PIER JACOPO MARTELLO
35930;VIA DEMETRIO MARTINELLI
35950;VIA VINCENZO MARTINELLI
35970;VIA GIOVAN BATTISTA MARTINETTI
35990;ROTONDA MARTIRI DELLE FOIBE
36000;VIA GIANBATTISTA MARTINI
36050;VIA PAOLO G. MARTINI
36100;PIAZZA S.MARTINO
36150;PIAZZA DEI MARTIRI 1943-1945
36170;VIA MARTIRI CROCE DEL BIACCO
36180;VIA MARTIRI DI MONTE SOLE
36200;VIA GIUSEPPE MARTUCCI
36230;VIA CARLO MARX
36250;VIA MARZABOTTO
36280;VIA MARZIALE
36300;VIA MASACCIO
36350;VIA PIETRO MASCAGNI
36400;VIA MASCARELLA
36450;PIAZZA DI PORTA MASCARELLA
36500;VIA OTTAVIANO MASCHERINO
36550;VIA ALFIERI MASERATI
36600;VIA CORRADO MASETTI
36650;VIA ERNESTO MASI
36700;VIA MASSENZIO MASIA
36750;VIALE ANGELO MASINI
36780;VIA MASSA CARRARA
36800;VIA GIUSEPPE MASSARENTI
36850;VIA GIOVANNI MASSEI
36900;VIA ALBERTO MASSONE
36950;VIA DEL MASTELLETTA
37000;VIA ENRICO MATTEI
37050;VIA STANISLAO MATTEI
37100;VIA GIACOMO MATTEOTTI
37150;VIA PELLEGRINO MATTEUCCI
37170;VIA PIETRO DI MATTIOLO
37200;VIA DE' MATTUIANI
37250;VIA GIUSEPPE MAZZA
37300;VIA MAZZINI
37350;VIA CORRADO MAZZONI
37400;PIAZZA DELLE MEDAGLIE D'ORO
37430;VIA MICHELE MEDICI
37450;VIA MARIA MELATO
37500;VIALE MASSIMO MELICONI
37550;VIA GIOV.BATTISTA MELLONI
37600;VIA DEL MELONCELLO
37650;VIA MELOZZO DA FORLI'
37660;VIA ALBERTO MENARINI
37670;VIA ESTRO MENABUE
37680;VIA VINCENZO MENGHINI
37690;VIA ALESSANDRO MENGANTI
37700;VIA PIETRO MENGOLI
37750;VIA GIUSEPPE MENGONI
37800;VIA CIRO MENOTTI
37850;VIA MENTANA
37870;VIA FRANCESCO S. MERCADANTE
37900;PIAZZA DELLA MERCANZIA
37930;VIA GIROLAMO MERCURIALE
37950;VIA ANTONIO MEUCCI
38000;VIA MEZZACOSTA
38030;ROTONDA ORSOLA MEZZINI
38050;VIA DI MEZZO
38100;VIA GIUSEPPE MEZZOFANTI
38150;PIAZZA S.MICHELE
38200;PIAZZALE S.MICHELE IN BOSCO
38300;VIA MICHELINO
38350;VIA FRANCESCO PAOLO MICHETTI
38400;PIAZZA ADAM MICKIEWICZ
38450;VIA FULVIO MILANI
38480;VIA MILANO
38500;VIA MILAZZO
38550;VIA PIETRO MILIANI
38600;VIA DEI MILLE
38650;VIA DEL MILLIARIO
38700;VIA MINCIO
38720;VIA GIUSEPPE MINGANTI
38730;ROTONDA SANTE MINGAZZI
38750;PIAZZA MINGHETTI
38800;VIA DON GIOVANNI MINZONI
38850;VIA MIRAMONTE
38900;VIA MIRASOLE
38930;VIA DEI MIRTILLI
38940;VIA MISA
38950;VIA GIUSEPPE MARIA MITELLI
38970;VIA DEL MOBILIERE
38980;VIA MODENA
39000;VIA GUSTAVO MODENA
39050;VIA AMEDEO MODIGLIANI
39060;ROTONDA GIUSEPPE MODONESI
39080;VIA MOLIERE
39090;LARGO GIOV. IGNAZIO MOLINA
39100;VIA DELLE MOLINE
39150;VIA PIER PAOLO MOLINELLI
39170;VIA MOLINO DI PESCAROLA
39200;VIA MOLISE
39250;VIA DE' MONARI
39300;VIA UMBERTO MONARI
39350;VIA MONDO
39380;VIA RODOLFO MONDOLFO
39400;VIA DEL MONTE
39410;VIA INDRO MONTANELLI
39450;VIA DI MONTE ALBANO
39500;VIA MONTEBELLO
39550;VIA DI MONTE DONATO
39600;VIA MONTEFIORINO
39650;VIA MONTE GRAPPA
39700;VIA MONTELLO
39730;VIA MONTELUNGO
39750;VIA MONTENERO
39800;VIA BRUNO MONTERUMICI
39850;VIA CLAUDIO MONTEVERDI
39880;ROTONDA CORIOLANO MONTI
39900;VIA GAETANO MONTI
39950;VICOLO MONTICELLI
40000;VIA MORANDI
40050;PIAZZETTA GIORGIO MORANDI
40100;VIA MORAZZO
40150;VIA DELLE MORE
40200;VIA DOMENICO MORELLI
40250;VIA GIOVAN BATTISTA MORGAGNI
40280;VIALE ALDO MORO
40300;VIA VOLFANGO AMEDEO MOZART
40330;VIA BRUNO MUGELLINI
40360;VIA ATTILIO MUGGIA
40380;VIA DEL MURATORE
40400;VIA PASQUALE MURATORI
40450;VIA AUGUSTO MURRI
40500;VIA ANGELO MUSCO
40550;VIA DE' MUSEI
40600;PIAZZETTA CARLO MUSI
40650;VIA FRATELLI MUSI
40700;VIA MARIO MUSOLESI
40750;VIA SALVATORE MUZZI
40800;VIA ETTORE NADALINI
40830;VIA GASPARE NADI
40850;VIA JODICHE NALDI
40880;VIA ERCOLE NANI
40900;VIA NINO NANNETTI
40910;VIA PAOLO NANNI COSTA
40920;VIA NAPOLI
40930;PIAZZALE GIOVANNI BATTISTA NASALLI ROCCA
40940;VIA GIOVANNI NATALI
40950;VIA DEL NAVILE
41000;VIA LUIGI NEGRELLI
41030;VIA ADA NEGRI
41040;ROTONDA NEGRONI
41060;VIA PIETRO NENNI
41080;VIA PABLO NERUDA
41100;PIAZZA DEL NETTUNO
41150;VICOLO DELLA NEVE
41200;VIA ISACCO NEWTON
41250;VIA S.NICOLO'
41300;VIA NICOLO' DALL'ARCA
41350;VIA S.NICOLO' DI VILLOLA
41400;VIA IPPOLITO NIEVO
41430;LARGO BARTOLO NIGRISOLI
41450;VIA NORMANDIA
41500;VIA NOSADELLA
41550;GALLERIA DEI NOTAI
41600;VIA GIACOMO FILIPPO NOVARO
41650;VIA ERMETE NOVELLI
41660;ROTONDA DON GIUSEPPE NOZZI
41670;VIA FRANCESCO NULLO
41700;VIA NUOVA
41720;VIA NUOVA BAZZANESE
41730;VIA TAZIO NUVOLARI
41750;VIA GUGLIELMO OBERDAN
41780;VIA CAMILLO OBLACH
41800;VIA DELLE OCHE
41850;VIA ODOFREDO
41900;VIA ALDO OGNIBENE
41950;VICOLO OLANDA
42000;VIA OLEARI
42050;VIA OLMETOLA
42100;VIA DEGLI OLMI
42150;VIA GINO ONOFRI
42200;VIA DEGLI OREFICI
42250;VIA MARCELLO ORETTI
42300;VIA ORFEO
42350;VIALE ALFREDO ORIANI
42400;VIA FRANCESCO ORIOLI
42430;VIA DON LUIGI ORIONE
42450;VIA PELLEGRINO A. ORLANDI
42500;VIA DELL'ORO
42550;VIA DELL'ORSO
42580;VIA FRANCESCO ORSONI
42600;VIA DEGLI ORTI
42650;VICOLO DELL'ORTO
42700;VIA DEGLI ORTOLANI
42750;VIA OSLAVIA
42780;VIA OSOPPO
42790;VIA DELL'OSPEDALE
42800;VIA DELL'OSPEDALETTO
42850;VIA DELL'OSSERVANZA
42900;PIAZZA DELL'OTTO AGOSTO
42950;VICOLO OTTO COLONNE
43000;VIA GIUSEPPE PACCHIONI
43050;PIAZZA DELLA PACE
43100;VIA ANTONIO PACINOTTI
43150;VIA DI PADERNO
43170;VIA MAURIZIO PADOA
43180;VIA PADOVA
43200;VIA NICCOLO' PAGANINI
43250;VIA PAGLIA
43300;VICOLO PAGLIA CORTA
43350;VIA PAGLIETTA
43380;VIA PAGNO DI LAPO PORTIGIANI
43400;VIA DEL PAGNONE
43450;VIA PELAGIO PALAGI
43480;PASSAGGIO GIOVANNI PALATUCCI
43500;VIA DEL PALEOTTO
43550;VIA PALESTRO
43580;VIA ANDREA PALLADIO
43600;VIA PALLAVICINI
43650;VIA DEL PALLONE
43700;VIA GIACOMO PALLOTTI
43750;VIA DELLA PALMA
43800;VIA GIANNI PALMIERI
43820;ROTONDA LEONE PANCALDI
43830;VIA RINO PANCALDI
43850;VIA DEL PANE
43880;VIA PIO PANFILI
43900;VIA PANIGALE
43950;VIALE ENRICO PANZACCHI
43970;VIA ALFREDO PANZINI
43980;VIA GIOVANNI PAPINI
43990;ROTONDA ROMANO PARADISI
44000;VIA PARADISO
44020;PIAZZALE ALFIO PAPPALARDO
44050;VIA DEL PARCO
44100;VIA PARIGI
44150;VIA GIUSEPPE PARINI
44200;VIA PARISIO
44230;VIA PARMA
44250;VIA AMEDEO PARMEGGIANI
44270;VIA FERRUCCIO PARRI
44300;VIA DEL PARTIGIANO
44350;VIA GIOVANNI PASCOLI
44360;VIA LORENZO PASINELLI
44400;VIA PARIDE PASQUALI
44450;VIA NICOLO' PASQUALI ALIDOSI
44500;VIA BARTOLOMEO PASSAROTTI
44550;VICOLO DEL PASSO
44580;VIA LUIGI PASTEUR
44600;VIA PASTRENGO
44650;VIA PASUBIO
44670;VIA CESARE PAVESE
44680;VIA VITTORIO PEGLION
44690;VIA DEL PELAGO
44700;VICOLO PELLEGRINO
44730;VIA SILVIO PELLICO
44750;VIA PELLIZZA DA VOLPEDO
44800;VIA PIETRO PELOTTI
44850;VIA GUGLIELMO PEPE
44900;VIA DE' PEPOLI
44950;VIALE CARLO PEPOLI
45000;VIA GIOV.BATTISTA PERGOLESI
45010;VIA GIORGIO PERLASCA
45050;VIA PERSICETANA
45100;VIA PERSICETANA VECCHIA
45150;VIA GIACOMO ANTONIO PERTI
45180;VIA AURELIANO PERTILE
45190;VIALE SANDRO PERTINI
45200;VIA DEL PERUGINO
45250;VIA PESCHERIE VECCHIE
45280;VIA LEONE PESCI
45300;VIA FRANCESCO PETRARCA
45350;VIA ETTORE PETROLINI
45400;VIA GIUSEPPE PETRONI
45450;VIA S.PETRONIO VECCHIO
45480;VIA RAFFAELE PETTAZZONI
45500;VIA GIACINTA PEZZANA
45530;VIA PIACENZA
45550;VIA PIANA
45600;VIA PIANORO
45650;VIA DE' PIATESI
45700;VIA PIAVE
45730;VIA DEL PICCHIO
45740;VIA GASTONE PICCININI
45750;VIA PIELLA
45800;VIA PIEMONTE
45850;VIA PIERO DELLA FRANCESCA
45870;VIA SAN PIER TOMMASO
45900;VIA DELLA PIETRA
45950;VIA PIETRALATA
45980;VIA PIETRANSIERI
46000;VIALE PIETRO PIETRAMELLARA
46020;VIA PIETRO DA ANZOLA
46030;VIA PIEVE DI CADORE
46050;VIA DE' PIGNATTARI
46100;VIA DEL PILASTRO
46130;VIA GAETANO PILATI
46150;VIA FRATELLI PINARDI
46170;GIARDINO SALVATORE PINCHERLE
46200;GALLERIA DEL PINCIO
46250;VIA PINTURICCHIO
46300;VIA SAN PIO V
46320;VIA ANGELO PIO'
46350;VIA DEL PIOMBO
46400;VIA PIOPPE
46430;VIA LUIGI PIRANDELLO
46450;VIA PIRATINO
46500;VIA CARLO PISACANE
46550;VIA NICOLO' PISANO
46600;VIA CARLO ALBERTO PIZZARDI
46620;VIA GUGLIELMO PIZZIRANI
46650;VIA PO
46700;VOLTONE DEL PODESTA'
46750;VIA PODGORA
46780;VIA EDGARD ALLAN POE
46800;VIA DE' POETI
46850;VIA DEL POGGIO
46900;VIA POLESE
46950;VIALE STENIO POLISCHI
47000;VIA ANGIOLO POLIZIANO
47030;VIA AUGUSTO POLLASTRI
47050;VIA PIETRO POMPONAZZI
47100;VIA POMPONIA
47150;VIA AMILCARE PONCHIELLI
47180;VIA DEL PONTELUNGO
47200;VIA PONTE ROMANO
47230;VIA PONTEVECCHIO
47250;VIA PONTIDA
47270;VIA POPULONIA
47300;VIA PORRETTANA
47350;VIA CARLO PORTA
47400;VIA PORTA DI CASTELLO
47450;VIA PORTANOVA
47500;VIA PORTAZZA
47550;VIA DEL PORTO
47600;VICOLO POSTERLA
47650;VIA DEI POZZETTI
47700;VIA DEL POZZO
47750;VIA CAMILLO PRAMPOLINI
47800;VIA DEL PRATELLO
47850;VICOLO DEI PRATI
47900;VIA PRATI DI CAPRARA
47930;LARGO DEMETRIO PRESINI
47950;VIA DE' PRETI
48000;VIA GAETANO PREVIATI
48050;VIA FRANCESCO PRIMATICCIO
48100;VIA CLEMENTE PRIMODI'
48150;VIA CAMILLO PROCACCINI
48200;VIA S.PROCOLO
48230;VIA LUCIANO PRONI
48240;VIA GIAN LUIGI PROTCHE
48250;VIA ALFREDO PROTTI
48300;VIA BARTOLOMEO PROVAGLIA
48350;VIA GIACOMO PUCCINI
48400;VIA PUGLIE
48450;VIA AUGUSTO PULEGA
48500;VIA PUNTA
48550;PIAZZA VITTORIO PUNTONI
48570;VIA GIULIO CESARE PUPILLI
48600;VIA VITTORIO PUTTI
48650;VIA ARMANDO QUADRI
48700;VICOLO QUARTIROLO
48750;VIA QUARTO DI SOPRA
48800;VIA QUATTRO NOVEMBRE
48830;VIA RAGAZZI DEL '99
48850;VIA MARC'ANTONIO RAIMONDI
48900;VIA GEROLAMO RAINALDI
48950;VIA BERNARDINO RAMAZZINI
48970;VIA BARTOLOMEO RAMENGHI
49000;VIA DELLA RAMPA
49030;RAMPA MAGG. LEOPOLDO SERRA
49050;VICOLO RANOCCHI
49100;VIA ANNIBALE RANUZZI
49150;VIA CAMILLO RANZANI
49200;VIA PIER ANTONIO RAPPINI
49250;VIA LUIGI RASI
49300;PIAZZA PORTA RAVEGNANA
49330;VIA RAVENNA
49350;VIA DI RAVONE
49370;VIA ENRICO REDENTI
49400;PIAZZA RE ENZO
49450;VIA FILIPPO RE
49470;ROTONDA 35░ REGGIMENTO FANTERIA PISTOIA
49480;VIA REGGIO EMILIA
49500;VIA ORESTE REGNOLI
49550;VIA VIRGINIA REITER
49600;VIA REMORSELLA
49650;VIA GUIDO RENI
49700;GALLERIA DEL RENO
49750;VIALE DELLA REPUBBLICA
49800;PIAZZA DELLA RESISTENZA
49850;LARGO RESPIGHI
49900;VIA RIALTO
49950;VIA CORRADO RICCI
50000;VIA DEL RICCIO
50050;VIA LUIGI RICCOBONI
50100;VIA AUGUSTO RIGHI
50150;VIA RINALDO RIGOLA
50200;VIA RIGOSA
50250;VIA RIMESSE
50280;VIA RIMINI
50290;VIA RIO POLO
50300;VIA FRANCESCO RISMONDO
50350;VIALE DEL RISORGIMENTO
50400;VIA ADELAIDE RISTORI
50450;VIA S.RITA
50500;VIA RIVABELLA
50550;VIA RIVA DI RENO
50570;VIA GIUSEPPE RIVANI
50590;VIA RIZZOLA LEVANTE
50600;VIA RIZZOLI
50650;VIA FRANCESCO ROCCHI
50700;VIA GINO ROCCHI
50730;VIA SAN ROCCO
50740;ROTONDA ENRICO BRUNETTI RODATI
50750;VIA ROLANDINO
50770;VIA GIUSEPPE ROLLI
50780;VIALE ROMA
50800;VIA ROMAGNA
50850;VIA AUGUSTO ROMAGNOLI
50880;ROTONDA LUCIANO ROMAGNOLI
50900;VIA ROMITA
50950;VIA RONCAGLIO
50980;ROTONDA AMILCARE RONCARATI
51000;VIA FRANCESCO RONCATI
51050;VIA DI RONCRIO
51100;VIA RONDELLA
51150;VIA DELLA RONDINE
51200;VIA DEL RONDONE
51250;PIAZZA FRANCKLIN D. ROOSEVELT
51300;VIA ROSARIO
51350;VIA DEI ROSASPINA
51400;VIA DELLE ROSE
51420;VIA ROSELLE
51430;VIA ANTONIO ROSMINI
51450;VIA FRATELLI ROSSELLI
51470;VIA PROPERZIA DE ROSSI
51500;VIA GASTONE ROSSI
51550;VIA PELLEGRINO ROSSI
51600;PIAZZA ROSSINI
51650;VIA ROTTA
51700;VIA DI ROVERETOLO
51750;VIA ALBERTO ROVIGHI
51800;VIA ALFONSO RUBBIANI
51850;VIA S.RUFFILLO
51860;VIA ANGELO RUFFINI
51870;VIA TITTA RUFFO
51900;VIA RUGGERO RUGGERI
51950;VIA GIUSEPPE RUGGI
52000;VIA DE' RUINI
52050;VIA DELLE RUOTE
52070;VIA RINO RUSCELLO
52100;VIA CARLO RUSCONI
52130;VIA LORENZO SABATINI
52150;VIA FRANCESCO SABATUCCI
52200;VIA DEI SABBIONI
52250;VIA DI SABBIUNO
52260;VIALE VITTORIO SABENA
52300;VIA SABOTINO
52350;VIA GIOVANNI ANTONIO SACCO
52380;VIA SACCO E VANZETTI
52400;VIA AURELIO SAFFI
52430;VIA EMILIO SALGARI
52450;VIA DI SALICETO
52470;VIA ANTONIO SALIERI
52500;VIA DELLA SALITA
52520;VIA DON GIULIO SALMI
52550;VIA DELLA SALUTE
52580;VIALE GAETANO SALVEMINI
52600;VIA TOMMASO SALVINI
52650;VIA ORAZIO SAMACCHINI
52700;VIA ALFONSO SAMOGGIA
52750;VIA SAMPIERI
52780;VIA ELEONORA SANGUINETTI
52800;VIA SANTA
52850;VIA SANTORRE DI SANTAROSA
52900;VIA RAFFAELLO SANZIO
52930;VIA GIUSEPPE SARAGAT
52950;VIA SARAGOZZA
53000;MURA DI PORTA SARAGOZZA
53050;PIAZZA DI PORTA SARAGOZZA
53100;VIA SARDEGNA
53140;VIA ARMANDO SARTI
53150;VIA MAURO SARTI
53200;VIA NAZARIO SAURO
53230;VIA SAVENA ANTICO
53250;VIA SAVENELLA
