CODVIA;DENOMINAZIONE
6650;VIA BELVEDERE
6680;LARGO GIULIANO BENASSI
6700;VIA BENAZZA
6750;VIA DANTE BENAZZI
6800;VIA BRUNO BENCIVENNI
6830;SALITA DI SAN BENEDETTO
6850;VIA BENEDETTO XIV
6900;VIA FERRUCCIO BENINI
6930;VIA FILIPPO BENIZZI
6950;VIA GENUZIO BENTINI
7000;VIA GIUSEPPE BENTIVOGLI
7040;VIALE GIOVANNI II BENTIVOGLIO
7050;VIA PAOLO BENTIVOGLIO
7070;ROTONDA SANTE BENTIVOGLIO
7100;VIA ANGELO BEOLCO
7150;VIA BERENGARIO DA CARPI
7200;VIA ALFREDO BERGAMI
7250;VIA ALBERTO BERGAMINI
7300;VIA LIBERO BERGONZONI
7350;VIA DELLA BERLETA
7370;VIA ENRICO BERLINGUER
7400;VIA ELIO BERNARDI
7430;PIAZZA GIOVANNI BERNARDI
7440;ROTONDA FULVIO BERNARDINI
7450;VIA GIOVANNI LORENZO BERNINI
7500;VIA FILIPPO BEROALDO
7550;VIA BERRETTA ROSSA
7600;VIA DEI BERSAGLIERI
7650;VIA DI BERTALIA
7700;VIA LUIGI BERTELLI
7750;VIA LODOVICO BERTI
7800;VIALE CARLO BERTI PICHAT
7850;VIA BERTIERA
7900;VIA GIOVANNI BERTINI
7950;VIA NINO BERTOCCHI
7980;VIA LEONIDA BERTOLAZZI
8000;VIA ANTONIO BERTOLONI
8040;VIA LAURA BETTI
8050;VIA AMALIA BETTINI
8100;VIA DELLA BEVERARA
8130;VIA BEZZECCA
8140;PIAZZETTA MARCO BIAGI
8150;VICOLO BIANCHETTI
8200;VIA DOMENICO BIANCHINI
8250;VICOLO BIANCO
8300;VIA DOMENICO BIANCOLELLI
8350;VIA GIANLODOVICO BIANCONI
8400;VIA DEI BIBIENA
8450;VIA ETTORE BIDONE
8500;VIA VITTORIO BIGARI
8520;VIA AGOSTINO BIGNARDI
8550;VIA DELLE BISCIE
8600;VIA NINO BIXIO
8650;VIA GIOVANNI BOCCACCIO
8700;VIA BOCCA DI LUPO
8750;VIA UMBERTO BOCCIONI
8780;VIA MATTEO MARIA BOIARDO
8800;VIA CESARE BOLDRINI
8850;VICOLO BOLOGNETTI
8900;VIA RAFFAELE BOMBELLI
8930;VIA LUIGI BOMBICCI
8950;VIA PAGANINO BONAFEDE
8970;VIA ROMANO BONAGA
9000;PIAZZA CLODOVEO BONAZZI
9050;VIA ALESSANDRO BONCI
9100;VIA ANTONIO BONDI
9150;VIA OTELLO BONVICINI
9200;VICOLO BORCHETTA
9250;VIA DEL BORDONE
9300;VIA FRATELLI BORDONI
9320;VIA LYDA BORELLI
9330;VIA GIUSEPPE BORGATTI
9340;VIA GIANGUIDO BORGHESE
9350;VIA DEL BORGHETTO
9400;VIA ADELAIDE BORGHI MAMO
9450;VIA DEL BORGO DI S.PIETRO
9500;VIA DEI BORGOGNONI
9550;VIA BORGOLOCCHI
9600;VIA BORGONUOVO
9650;VIA DELLE BORRE
9700;VIA GIROLAMO BORSELLI
9750;VIA AMILCARE BORTOLOTTI
9800;VICOLO DEL BOSCO
9820;VIA STEFANO BOTTARI
9830;VIA GIUSEPPE BOSI
9840;VIA VITTORIO BOTTEGO
9850;VIA SANDRO BOTTICELLI
9870;VIA GIOVANNI BOTTONELLI
9900;VIALE MEDARDO BOTTONELLI
9950;VIA GAETANO BOTTRIGARI
9980;VIA BOVES
10000;VIA PAOLO BOVI CAMPEGGI
10030;VIA ELIO BRAGAGLIA
10050;VIA BRAINA
10060;VIA DONATO BRAMANTE
10070;VIA BRENTA
