;;;;;;;;
Popolazione residente immigrata per sezione e luogo di immigrazione -  Maschi;;;;;;;;(a)
al 31 Dicembre 2010;;;;;;;;
Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
2305;9;5;2;2;1;1;1;21
2306;6;1;;;1;;;8
2307;12;1;;1;;3;;17
2308;1;;;;;;;1
2309;2;;;;;;;2
2310;2;1;;;1;;1;5
2311;13;3;1;;1;2;;20
2312;26;;3;;1;10;2;42
2313;31;3;1;2;6;6;13;62
2314;18;3;;;1;3;1;26
2315;15;5;;;2;6;1;29
2316;23;3;1;1;1;4;7;40
2317;1;1;1;;;2;;5
2318;24;8;1;;3;4;1;41
2319;11;1;3;1;5;7;3;31
2320;39;3;6;1;3;5;13;70
2321;;;;;;;;
2322;18;2;;;;2;;22
8888;17;7;5;1;6;9;6;51
Totale;42.351;12.697;5.388;4.080;7.552;22.638;17.319;112.025
;;;;;;;;
(a) Nella popolazione immigrata  sono incluse anche le persone precedentemente residenti, emigrate poi immigrate.  Per residenti dalla nascita si intendono le persone nate residenti e mai emigrate.;;;;;;;;
;;;;;;;;
(b) Dal 31/12/2005 la tavola fa riferimento alle sezioni di censimento 2001, si sottolinea che si tratta di aree cartografiche diverse dalle sezioni di censimento 1991. Per individuare correttamente le aree di interesse è necessario consultare diverse dalle sezioni di censimento 1991. Per individuare correttamente le aree di interesse è necessario consultare il sito alla voce -Individua le sezioni sulle mappe o sullo stradario.;;;;;;;;
