;;;;;
Popolazione residente per sezione e stato civile - Maschi;;;;;(a)
al  31 Dicembre 2010;;;;;
Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
0928;101;96;7;4;208
0929;28;25;;;53
0930;93;162;15;;270
0931;72;76;4;2;154
0932;48;61;5;3;117
0933;15;7;;;22
0934;4;7;1;1;13
0935;9;7;;2;18
0936;4;2;;;6
0937;16;12;;;28
0938;6;9;1;;16
0939;;;;;
0940;3;5;;1;9
0941;3;4;;1;8
0942;3;2;1;1;7
0943;;;;;
0944;4;2;;1;7
0945;11;14;;2;27
0946;9;9;1;;19
0947;;;;;
0948;38;30;2;1;71
0949;8;4;;;12
0950;;;;;
0951;8;5;;;13
0952;12;20;3;2;37
0953;;;;;
0954;;;;;
0955;2;1;;;3
0956;;;;;
0957;3;3;;;6
0958;10;6;;1;17
0959;3;3;;;6
0960;;;;;
0961;;;;;
0962;2;2;;;4
0963;;;;;
0964;;1;;;1
0965;;;;;
0966;102;105;7;6;220
0967;18;22;5;1;46
0968;;;;;
0969;64;65;6;1;136
0970;47;32;1;1;81
0971;58;64;2;3;127
0972;;;;;
0973;;;;;
0974;;1;;;1
0975;;;;;
0976;;;;;
0977;;;;;
0978;28;24;;1;53
0979;77;53;2;3;135
0980;28;33;4;4;69
0981;1;4;;;5
0982;48;35;1;;84
0983;26;16;;3;45
0984;85;70;2;3;160
0985;88;77;3;3;171
0986;83;57;2;1;143
0987;12;11;1;2;26
0988;82;76;5;2;165
0989;31;19;1;1;52
0990;81;85;4;1;171
0991;106;80;5;4;195
0992;80;54;4;6;144
0993;;;;;
0994;48;22;;1;71
0995;70;73;6;2;151
0996;;1;;;1
0997;50;69;7;2;128
0998;55;51;6;6;118
0999;75;59;2;9;145
1000;54;56;;1;111
1001;82;55;11;8;156
1002;57;51;6;4;118
1003;74;82;7;3;166
1004;99;91;3;5;198
1005;85;65;7;7;164
1006;79;70;6;2;157
1007;76;63;9;10;158
1008;28;32;3;2;65
1009;;;;;
1010;48;28;2;3;81
1011;20;15;3;;38
1012;;1;;;1
1013;44;52;5;7;108
1014;15;31;2;2;50
1015;113;100;7;6;226
1016;81;77;7;3;168
1017;62;40;3;2;107
1018;46;28;2;3;79
1019;15;15;1;1;32
1020;16;13;;1;30
1021;23;20;3;3;49
1022;22;25;2;;49
1023;34;25;;6;65
1024;114;88;8;6;216
1025;;;;;
1026;;;;;
1027;14;7;;2;23
1028;131;103;8;3;245
1029;124;78;11;7;220
1030;;;;;
1031;40;27;4;4;75
1032;91;73;11;5;180
1033;81;73;7;4;165
1034;20;17;1;;38
1035;41;33;5;2;81
1036;31;21;1;1;54
1037;65;35;4;1;105
1038;47;43;7;2;99
1039;;;;;
1040;25;15;6;3;49
1041;173;129;16;5;323
1042;110;74;10;11;205
1043;76;47;6;6;135
1044;51;46;1;1;99
1045;;;;;
1046;22;20;1;;43
1047;26;30;1;2;59
1048;;;;;
1049;15;16;;;31
1050;1;1;1;;3
1051;5;4;;1;10
1052;86;83;10;;179
1053;12;19;;1;32
1054;100;71;6;8;185
1055;90;75;10;2;177
1056;76;51;6;4;137
1057;74;27;8;2;111
1058;24;21;7;2;54
1059;6;8;;1;15
1060;39;46;1;1;87
1061;83;62;5;5;155
1062;18;17;;;35
1063;6;7;3;;16
1064;100;107;6;9;222
1065;30;49;7;;86
1066;55;65;7;3;130
1067;32;19;2;2;55
1068;69;65;7;5;146
1069;8;13;2;;23
1070;98;59;10;4;171
1071;103;83;2;2;190
1072;3;1;;;4
1073;16;13;;;29
1074;66;76;5;1;148
1075;23;9;;3;35
1076;1;2;;1;4
1077;77;81;6;3;167
1078;;;;;
1079;104;121;13;4;242
1080;;;;;
1081;111;176;10;6;303
1082;24;30;2;;56
1083;11;13;3;1;28
1084;1;;;;1
1085;1;;;;1
1086;166;161;7;11;345
1087;2;1;;;3
1088;;;;;
1089;25;19;1;1;46
1090;90;166;10;5;271
1091;149;137;11;12;309
1092;166;195;10;9;380
1093;79;63;5;4;151
1094;;;;;
1095;;;;;
1096;;;;;
1097;106;121;10;6;243
1098;107;75;4;3;189
1099;83;39;2;3;127
1100;2;1;;;3
1101;92;132;8;4;236
1102;101;94;8;;203
1103;;;;;
1104;74;80;9;7;170
1105;99;55;4;;158
1106;61;60;5;1;127
1107;93;105;13;11;222
1108;37;75;4;2;118
1109;35;42;2;3;82
1110;;3;;;3
1111;3;10;;1;14
1112;60;7;;;67
1113;13;9;1;1;24
1114;13;5;;;18
1115;2;1;;;3
1116;10;9;;;19
1117;;;;;
1118;5;6;1;;12
1119;10;3;1;;14
1120;7;9;;2;18
1121;;;;;
1122;;;;;
1123;2;2;;;4
1124;;;;;
1125;3;2;;;5
1126;2;1;;;3
1127;;;;;
1128;12;3;;;15
1129;;;;;
1130;2;4;1;;7
1131;;;;;
1132;54;63;5;3;125
1133;;;;;
1134;8;8;;1;17
1135;10;;;;10
1136;123;112;4;4;243
1137;17;25;2;1;45
1138;48;42;1;7;98
1139;80;71;1;5;157
1140;7;13;3;;23
1141;5;9;;1;15
1142;7;3;;;10
1143;38;35;3;1;77
1144;22;23;1;1;47
1145;66;53;2;2;123
1146;10;14;5;2;31
1147;27;28;2;;57
1148;121;118;11;8;258
1149;8;7;;1;16
1150;2;4;;;6
1151;47;37;3;1;88
1152;61;65;4;4;134
1153;12;11;;1;24
1154;53;49;3;3;108
1155;50;55;3;4;112
1156;79;83;4;5;171
1157;5;5;;;10
1158;18;12;;1;31
1159;1;4;;1;6
1160;;;;;
1161;;;;;
1162;259;229;7;15;510
1163;19;13;;;32
