SERVIZIO;ON-LINE;TOTALE
NIDO D'INFANZIA;712;2796
SCUOLA DELL'INFANZIA;546;3132
SERVIZI INTEGRATIVI SCUOLA DELL'INFANZIA;420;3042
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;528;3874
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;199;1583
