Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
1616;81;31;17;6;11;56;23;225
1617;17;6;6;3;1;7;11;51
1618;70;22;5;8;12;37;9;163
1619;7;5;;;6;3;;21
1620;26;7;5;2;3;8;10;61
1621;13;12;5;5;5;15;6;61
1622;9;3;3;2;4;14;8;43
1623;19;6;2;2;6;27;11;73
1624;19;5;;1;;1;;26
1625;18;6;;;2;5;1;32
1626;20;7;5;2;7;5;;46
1627;71;31;12;8;13;61;30;226
1628;;;;;;;;
1629;6;6;3;3;;7;14;39
1630;36;20;5;2;12;20;10;105
1631;52;21;6;3;9;43;20;154
1632;96;50;10;17;18;58;34;283
1633;51;26;2;6;14;31;27;157
1634;64;22;8;5;4;4;3;110
1635;61;32;19;9;13;43;45;222
1636;75;18;6;4;14;28;32;177
1637;73;21;13;12;15;42;50;226
1638;49;26;10;6;19;48;10;168
1639;17;12;3;6;5;24;27;94
1640;26;9;3;3;4;11;1;57
1641;20;6;6;6;10;14;18;80
1642;53;27;7;4;5;25;28;149
1643;46;29;4;6;12;33;22;152
1644;53;21;10;4;12;38;20;158
1645;8;9;3;;;13;4;37
1646;78;27;8;12;17;27;12;181
1647;;;;;;;;
1648;41;17;2;2;5;20;15;102
1649;39;9;17;2;11;28;26;132
1650;50;16;6;12;8;27;35;154
1651;43;28;9;4;9;23;28;144
1652;35;7;4;1;3;8;12;70
1653;70;24;18;16;14;25;39;206
1654;43;23;11;6;22;19;28;152
1655;45;10;6;5;9;14;13;102
1656;42;17;15;10;17;48;14;163
1657;58;22;9;7;15;41;29;181
1658;56;20;9;2;9;40;24;160
1659;6;5;2;;1;4;8;26
1660;35;17;10;11;8;50;20;151
1661;14;2;4;;4;2;28;54
1662;14;5;2;5;5;8;4;43
1663;;;;;;;;
1664;13;2;1;;;7;12;35
1665;10;1;;;;2;2;15
1666;13;5;1;;;3;5;27
1667;;;;;;;;
1668;;;;;;;;
1669;2;;;;;2;;4
1670;;;;;;;;
1671;;;;;;;;
1672;;;;;;;;
1673;3;;;;;;;3
1674;9;3;;1;1;1;;15
1675;6;3;;1;1;2;5;18
1676;39;13;6;5;;13;5;81
1677;;;;;;;;
1678;;;;;;;;
1679;28;9;1;1;6;9;9;63
1680;19;2;1;2;1;;1;26
1681;7;2;;;;2;2;13
1682;21;4;2;1;1;11;29;69
1683;;;;;;;;
1684;;;;;;;;
1685;5;1;;;;2;;8
1686;;;;;;1;;1
1687;346;77;28;22;48;98;40;659
1688;50;15;6;3;3;7;4;88
1689;155;39;21;14;21;41;14;305
1690;4;;;;;;;4
1691;3;;;;;;3;6
1692;;;;;;;;
1693;;;;;;;;
1694;;;;;;;;
1695;;;;;;;;
1696;10;3;;;;1;;14
1697;;1;;;;;2;3
1698;2;;;1;;;1;4
1699;21;11;2;;3;12;3;52
1700;;;;;;;;
1701;2;;;;;1;;3
1702;;;;;;1;;1
1703;3;;;;;;;3
1704;1;;;;;1;;2
1705;9;2;;;;;1;12
1706;2;;;;;;1;3
1707;;;;;;;;
1708;;;;;;;;
1709;4;;;;;;1;5
1710;3;;;;;;;3
1711;2;;;;;;1;3
1712;;;;;;;5;5
1713;;;;;;;;
1714;15;6;1;1;1;8;;32
1715;5;;;;1;;;6
1716;2;;;;1;;;3
1717;14;;;;;;2;16
1718;1;;;;;;;1
1719;5;1;;1;1;3;6;17
1720;22;7;;2;;7;29;67
1721;33;11;1;1;4;13;21;84
1722;192;45;18;11;25;70;60;421
1723;26;5;1;3;4;23;15;77
1724;43;13;13;8;12;23;30;142
1725;143;47;6;17;19;76;43;351
1726;33;12;5;5;6;23;13;97
1727;57;14;9;9;23;16;19;147
1728;58;18;4;5;7;38;18;148
1729;28;5;3;4;2;8;14;64
1730;78;23;1;4;4;21;20;151
1731;73;13;5;5;9;41;41;187
1732;;;;;;;;
1733;7;;1;3;;2;8;21
1734;10;4;2;;3;7;3;29
1735;;;;;;;;
1736;;;;;;;;
1737;;;;;;;;
1738;25;7;1;9;9;11;15;77
1739;72;10;2;;10;20;27;141
1740;10;1;;;3;1;;15
1741;31;11;2;1;15;13;21;94
1742;124;28;4;4;20;80;67;327
1743;6;;;1;3;5;1;16
1744;84;12;1;11;11;39;59;217
1745;189;62;20;16;20;81;69;457
1746;16;1;2;1;3;13;10;46
1747;172;50;15;9;34;73;48;401
1748;28;9;2;9;2;31;9;90
1749;258;63;14;9;16;107;166;633
1750;189;60;12;8;18;52;59;398
1751;;;;;;1;;1
1752;19;7;2;2;4;9;2;45
1753;14;3;2;;2;7;;28
1754;140;32;16;10;24;88;44;354
1755;8;;2;;1;1;3;15
1756;86;9;3;6;10;38;117;269
1757;29;2;2;;3;3;1;40
1758;8;4;1;;;3;;16
1759;13;4;3;1;1;3;5;30
1760;79;16;5;4;15;22;11;152
1761;2;;;;;;8;10
1762;13;2;;;1;;;16
1763;38;8;5;;;8;3;62
1764;5;2;;;;;1;8
1765;;;;;;;;
1766;28;3;1;;1;14;9;56
1767;;;;;;;;
1768;;;;;;;;
