SERVIZIO;ON-LINE;TOTALE
NIDO D'INFANZIA;247;2216
SCUOLA DELL'INFANZIA;225;2852
SERVIZI INTEGRATIVI SCUOLA PRIMARIA;171;9760
SERVIZI INTEGRATIVI SCUOLA SECONDARIA DI PRIMO GRADO;50;4326
