Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
2210;46;11;4;6;7;18;18;110
2211;36;15;3;6;6;14;15;95
2212;26;7;5;3;9;9;13;72
2213;16;2;4;1;7;10;11;51
2214;8;4;1;1;1;3;5;23
2215;6;3;;1;;1;;11
2216;75;33;9;7;19;43;23;209
2217;;;;;;;;
2218;21;5;2;21;4;9;6;68
2219;50;17;3;3;3;16;17;109
2220;26;3;2;4;4;12;6;57
2221;40;16;7;2;7;9;15;96
2222;64;21;9;6;10;30;14;154
2223;37;6;2;2;6;6;7;66
2224;27;10;2;5;4;14;15;77
2225;1;;;;;;;1
2226;;;;;;;;
2227;;;;;;;;
2228;32;6;5;7;4;18;7;79
2229;33;12;4;;4;10;8;71
2230;25;6;5;2;3;4;11;56
2231;;;;;;;;
2232;43;8;11;3;7;23;9;104
2233;10;4;2;;1;2;2;21
2234;18;4;7;2;5;4;5;45
2235;27;6;1;4;3;11;21;73
2236;17;4;1;;4;1;11;38
2237;18;2;1;1;;3;;25
2238;32;8;1;2;2;7;12;64
2239;21;5;2;;4;4;11;47
2240;2;2;;;;;3;7
2241;;;;;;;;
2242;12;3;;;5;1;2;23
2243;44;10;3;3;6;6;12;84
2244;15;;;;1;3;2;21
2245;19;4;4;;4;8;7;46
2246;29;5;7;3;4;9;8;65
2247;9;1;;1;;3;3;17
2248;2;;1;;;2;;5
2249;14;2;;;;2;5;23
2250;12;;;;1;1;;14
2251;12;2;;;1;;1;16
2252;46;7;4;6;12;19;8;102
2253;45;18;6;6;9;29;13;126
2254;47;29;10;3;10;12;5;116
2255;;;;;;;;
2256;24;7;1;2;5;16;9;64
2257;80;22;6;7;14;23;29;181
2258;8;5;1;;4;9;6;33
2259;34;21;2;2;7;12;2;80
2260;;;;;;;;
2261;23;8;2;2;6;7;3;51
2262;46;12;4;5;7;15;15;104
2263;75;21;15;8;12;28;17;176
2264;60;18;5;6;11;13;14;127
2265;40;11;5;4;5;6;6;77
2266;57;10;2;5;8;28;16;126
2267;32;5;1;1;1;4;10;54
2268;26;2;1;1;2;2;9;43
2269;23;8;2;1;5;9;7;55
2270;5;2;;1;2;1;1;12
2271;33;6;6;3;2;14;4;68
2272;64;7;2;2;9;15;18;117
2273;32;4;2;1;1;6;3;49
2274;12;1;1;1;1;7;5;28
2275;60;16;4;1;5;13;13;112
2276;47;10;;4;5;20;11;97
2277;26;12;;3;4;11;6;62
2278;;;;;;;;
2279;;;;;;;;
2280;57;15;1;4;6;28;26;137
2281;;;;;;;;
2282;34;7;;1;5;7;11;65
2283;9;1;;;1;5;;16
2284;29;5;;2;2;5;8;51
2285;32;6;1;1;3;16;5;64
2286;72;32;8;7;5;22;4;150
2287;13;1;1;1;;1;;17
2288;2;;;;;;;2
2289;10;1;1;;;;;12
2290;3;;;;;;3;6
2291;3;1;;1;1;;1;7
2292;51;11;4;8;3;6;18;101
2293;6;1;;2;1;;1;11
2294;3;3;;;;;1;7
2295;29;6;3;5;2;10;9;64
2296;15;3;3;;1;1;1;24
2297;14;2;;;5;2;1;24
2298;16;3;3;;2;8;3;35
2299;30;11;4;4;8;5;6;68
2300;12;7;4;2;3;6;10;44
2301;7;3;;;1;;;11
2302;5;1;;;;3;1;10
2303;11;1;1;2;2;2;7;26
2304;6;;;;;;;6
2305;12;5;1;3;;;5;26
2306;8;3;;;2;1;1;15
2307;13;5;1;;;7;7;33
2308;1;;;;;;;1
2309;3;;;;;1;;4
2310;3;1;;1;1;;1;7
2311;8;4;1;;2;2;2;19
2312;26;5;3;;;9;5;48
2313;32;9;4;1;3;15;18;82
2314;21;5;;2;2;7;;37
2315;14;6;1;2;2;8;2;35
2316;24;4;;2;1;6;9;46
2317;;2;;;;;1;3
2318;34;12;2;1;4;1;6;60
2319;16;1;3;;4;6;4;34
2320;70;14;13;4;3;11;13;128
2321;;;;;;;;
2322;19;2;1;2;;3;4;31
8888;;5;1;;1;2;5;14
Totale;52.584;18.092;6.708;5.855;8.915;23.876;20.789;136.819
;;;;;;;;
(a) Nella popolazione immigrata  sono incluse anche le persone precedentemente residenti, emigrate poi immigrate.  Per residenti dalla nascita si intendono le persone nate residenti e mai emigrate.;;;;;;;;
;;;;;;;;
(b) Dal 31/12/2005 la tavola fa riferimento alle sezioni di censimento 2001, si sottolinea che si tratta di aree cartografiche diverse dalle sezioni di censimento 1991. Per individuare correttamente le aree di interesse è necessario consultare diverse dalle sezioni di censimento 1991. Per individuare correttamente le aree di interesse è necessario consultare il sito alla voce -Individua le sezioni sulle mappe o sullo stradario.;;;;;;;;
